ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0051084	'de novo' posttranslational protein folding	8/204	35/17653	4.992507964296127e-9	1.3379921344313621e-6	1.1623705145581319e-6	HSPA1A/DNAJB1/HSPH1/HSPA1B/HSPA8/PTGES3/HSPA4/HSPA4L	8
BP	GO:0006458	'de novo' protein folding	9/204	53/17653	8.79465421759714e-9	2.1605533861230305e-6	1.8769643606503374e-6	HSPA1A/DNAJB1/HSPH1/HSPA1B/HSPA8/PTGES3/HSPD1/HSPA4/HSPA4L	9
BP	GO:0035967	cellular response to topologically incorrect protein	13/204	166/17653	6.844653833796982e-8	1.5521568847718078e-5	1.3484245164071302e-5	HSPA1A/PPP1R15A/HSPH1/HSPA1B/ATF3/HSPA8/HERPUD1/CTH/EIF2AK3/SERP1/KLHL15/HSPA4/HSPA4L	13
BP	GO:0090084	negative regulation of inclusion body assembly	5/204	11/17653	8.568630244780353e-8	1.8043087115437487e-5	1.5674795026729775e-5	HSPA1A/DNAJB1/HSPA1B/DNAJA4/DNAJB6	5
BP	GO:0034620	cellular response to unfolded protein	12/204	149/17653	1.6301765928050276e-7	3.203840397059481e-5	2.783312035294479e-5	HSPA1A/PPP1R15A/HSPH1/HSPA1B/ATF3/HSPA8/HERPUD1/CTH/EIF2AK3/SERP1/HSPA4/HSPA4L	12
BP	GO:0090083	regulation of inclusion body assembly	5/204	16/17653	7.728369553216103e-7	1.3492352299903027e-4	1.1721378685161775e-4	HSPA1A/DNAJB1/HSPA1B/DNAJA4/DNAJB6	5
BP	GO:0006979	response to oxidative stress	19/204	436/17653	7.780528802522099e-7	1.3492352299903027e-4	1.1721378685161775e-4	HSPA1A/HSPB1/HSPH1/HSPA1B/CYCS/CRYAB/DUSP1/NR4A2/FOS/JUN/NR4A3/RHOB/GCH1/OXSR1/PRNP/BTG1/CASP3/PTPRN/TRA2B	19
BP	GO:0097193	intrinsic apoptotic signaling pathway	15/204	290/17653	1.4723226566685018e-6	2.3405312317158758e-4	2.0333187483984595e-4	HSPA1A/PPP1R15A/HSPB1/HSPH1/CYCS/DNAJA1/HERPUD1/EIF2AK3/UBB/JMY/MLLT11/DDIT4/USP28/CASP3/TPT1	15
BP	GO:0031647	regulation of protein stability	14/204	253/17653	1.5084834939824165e-6	2.3405312317158758e-4	2.0333187483984595e-4	HSPA1A/HSPA1B/CRYAB/BAG3/CCNH/HSPA8/HSP90AA1/PTGES3/HSPD1/ATP1B3/RNF139/USP28/PRNP/MYLIP	14
BP	GO:0051131	chaperone-mediated protein complex assembly	5/204	20/17653	2.6417674809458356e-6	3.893965266914162e-4	3.3828527795480096e-4	HSPA1A/HSP90AA1/PTGES3/HSPD1/HSPA4	5
BP	GO:0061469	regulation of type B pancreatic cell proliferation	4/204	10/17653	3.443940873659264e-6	4.834636997879767e-4	4.2000542083273133e-4	NR4A1/NR4A3/ERRFI1/PTPRN	4
BP	GO:0070841	inclusion body assembly	5/204	22/17653	4.403481175382369e-6	5.900664775012374e-4	5.12615775105517e-4	HSPA1A/DNAJB1/HSPA1B/DNAJA4/DNAJB6	5
BP	GO:1903320	regulation of protein modification by small protein conjugation or removal	12/204	212/17653	6.8282859904027164e-6	8.752081347698786e-4	7.603304262997625e-4	HSPA1A/EGR1/HSPA1B/DNAJA1/HSP90AA1/GNL3/HERPUD1/UBB/DCUN1D3/CRY1/RNF139/SIAH2	12
BP	GO:0097201	negative regulation of transcription from RNA polymerase II promoter in response to stress	4/204	12/17653	7.971659045004737e-6	9.791854526947485e-4	8.506599323024794e-4	HSPA1A/DNAJB1/BAG3/JUN	4
BP	GO:1903313	positive regulation of mRNA metabolic process	7/204	65/17653	9.800799095153757e-6	0.001155710229300531	0.0010040144925688038	HSPA1A/BTG2/TOB1/HSPA8/SF3B4/TRA2B/QKI	7
BP	GO:0033120	positive regulation of RNA splicing	5/204	31/17653	2.610817740271703e-5	0.002960265653200377	0.0025717083247291717	HSPA1A/HSPA8/SF3B4/RBM22/TRA2B	5
BP	GO:0032781	positive regulation of ATPase activity	6/204	53/17653	3.23154284014474e-5	0.003528366034350627	0.003065241220301034	DNAJB1/DNAJA1/DNAJB4/DNAJB6/ATP1B3/AHSA1	6
BP	GO:2001233	regulation of apoptotic signaling pathway	15/204	383/17653	4.083433009637293e-5	0.004276327252809514	0.0037150268535619323	HSPA1A/HSPB1/HSPH1/HSPA1B/ATF3/NR4A2/DNAJA1/HERPUD1/CTH/EIF2AK3/UBB/MLLT11/DEDD2/TPT1/SIAH2	15
BP	GO:0006401	RNA catabolic process	15/204	384/17653	4.206699129290227e-5	0.004276327252809514	0.0037150268535619323	HSPA1A/EIF4A3/HSPB1/HSPA1B/BTG2/TOB1/UBC/HSPA8/NAF1/PPP2CA/UBB/RPL10/DEDD2/ETF1/QKI	15
BP	GO:0044342	type B pancreatic cell proliferation	4/204	18/17653	4.6667962177417865e-5	0.004585905083300929	0.003983970244830094	NR4A1/NR4A3/ERRFI1/PTPRN	4
BP	GO:0031396	regulation of protein ubiquitination	10/204	184/17653	5.698059927956062e-5	0.005418671183101442	0.004707429475285942	HSPA1A/HSPA1B/DNAJA1/HSP90AA1/HERPUD1/UBB/DCUN1D3/CRY1/RNF139/SIAH2	10
BP	GO:0000302	response to reactive oxygen species	11/204	227/17653	6.89730388882752e-5	0.006354141207582353	0.005520111961025447	HSPH1/CRYAB/DUSP1/FOS/JUN/NR4A3/RHOB/GCH1/CASP3/PTPRN/TRA2B	11
BP	GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	8/204	119/17653	7.262960799598294e-5	0.006488244980974476	0.005636613596626046	HSPA1A/DNAJB1/EGR1/ATF3/BAG3/UBC/JUN/UBB	8
BP	GO:0043484	regulation of RNA splicing	8/204	120/17653	7.705652129749793e-5	0.006681253670147761	0.005804288430861068	HSPA1A/HSPA8/RBM7/SRSF3/SF3B4/RBM22/CLK1/TRA2B	8
BP	GO:0036499	PERK-mediated unfolded protein response	4/204	21/17653	8.882944977129458e-5	0.007481977655022183	0.00649991131709954	PPP1R15A/ATF3/HERPUD1/EIF2AK3	4
BP	GO:0050821	protein stabilization	9/204	159/17653	9.835996533871594e-5	0.008017977919475217	0.006965557479855462	HSPA1A/HSPA1B/CRYAB/BAG3/CCNH/HSP90AA1/PTGES3/HSPD1/ATP1B3	9
BP	GO:0043620	regulation of DNA-templated transcription in response to stress	8/204	125/17653	0.00010269172386121931	0.008017977919475217	0.006965557479855462	HSPA1A/DNAJB1/EGR1/ATF3/BAG3/UBC/JUN/UBB	8
BP	GO:0051090	regulation of DNA binding transcription factor activity	15/204	416/17653	1.0335249692674974e-4	0.008017977919475217	0.006965557479855462	HSPA1A/HSPA1B/TCEAL7/FOS/UBC/JUN/IFRD1/CTH/ABRA/UBB/JMY/PRNP/PROX1/TRIM26/NFKBID	15
BP	GO:0046394	carboxylic acid biosynthetic process	15/204	419/17653	1.1188559134966809e-4	0.008457403161508245	0.007347304824662415	PNPLA8/CTH/PTGES3/INSIG1/ELOVL5/RANBP2/GCH1/DDIT4/GOT1/PROX1/ECD/HSD17B12/NUP58/ABHD3/QKI	15
BP	GO:0016053	organic acid biosynthetic process	15/204	420/17653	1.148633968538374e-4	0.008465432348127817	0.0073542801196154325	PNPLA8/CTH/PTGES3/INSIG1/ELOVL5/RANBP2/GCH1/DDIT4/GOT1/PROX1/ECD/HSD17B12/NUP58/ABHD3/QKI	15
MF	GO:0051082	unfolded protein binding	16/206	122/17548	9.997142597725388e-13	4.758639876517285e-10	4.261939739030297e-10	HSPA1A/DNAJB1/HSPH1/HSPA1B/CRYAB/DNAJA1/DNAJA4/DNAJB4/HSPA8/HSP90AA1/PTGES3/HSPD1/DNAJB6/NUDC/HSPA4/HSPA4L	16
MF	GO:0031072	heat shock protein binding	15/206	122/17548	1.3567303075746559e-11	3.229018132027681e-9	2.891977760882819e-9	HSPA1A/DNAJB1/HSPH1/HSPA1B/DNAJA1/DNAJA4/HSPA8/CHORDC1/PTGES3/EIF2AK3/DNAJB6/STIP1/HSPA4/FKBP4/HSPA4L	15
MF	GO:0051087	chaperone binding	11/206	96/17548	1.648164550144587e-8	2.615087752896078e-6	2.3421285712580973e-6	DNAJB1/BAG3/DNAJA1/DNAJA4/DNAJB4/PTGES3/HSPD1/DNAJB6/STIP1/AHSA1/PRNP	11
MF	GO:0044183	protein binding involved in protein folding	8/206	42/17548	2.638286336319575e-8	3.054860336916408e-6	2.735998311479755e-6	HSPA1A/HSPB1/HSPH1/HSPA1B/HSPA8/HSPD1/HSPA4/HSPA4L	8
MF	GO:0060590	ATPase regulator activity	8/206	43/17548	3.2088869085256386e-8	3.054860336916408e-6	2.735998311479755e-6	DNAJB1/HSPH1/BAG3/DNAJA1/DNAJB4/DNAJB6/ATP1B3/AHSA1	8
MF	GO:0001671	ATPase activator activity	6/206	27/17548	5.863869029326792e-7	3.987430939942219e-5	3.571228506582483e-5	DNAJB1/DNAJA1/DNAJB4/DNAJB6/ATP1B3/AHSA1	6
MF	GO:0051787	misfolded protein binding	6/206	27/17548	5.863869029326792e-7	3.987430939942219e-5	3.571228506582483e-5	HSPA1A/HSPH1/HSPA1B/HSPA8/HSPA4/HSPA4L	6
MF	GO:0035259	glucocorticoid receptor binding	4/206	14/17548	1.6838087431389575e-5	0.0010018662021676796	8.972928170674707e-4	NR4A2/NR4A1/NR4A3/FKBP4	4
MF	GO:0000982	transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	16/206	415/17548	3.2960232349144004e-5	0.0017432300664658384	0.0015612741639068214	EGR1/BTG2/ATF3/NPAS4/NR4A2/FOSB/FOS/NKRF/FOSL2/JUN/NR4A1/NFIL3/NR4A3/MXD1/PROX1/JDP2	16
