Mouse	Human
BC005537	C6orf62
Zranb2	ZRANB2
Usp48	USP48
Rab11fip2	RAB11FIP2
Gbas	GBAS
Nfib	NFIB
Itsn2	ITSN2
Zcchc11	ZCCHC11
Atxn2	ATXN2
Ube2r2	UBE2R2
Tapt1	TAPT1
Nr3c1	NR3C1
Hdac8	HDAC8
Kif3c	KIF3C
Hnrnph3	HNRNPH3
Anapc5	ANAPC5
Crtc3	CRTC3
Jkamp	JKAMP
Sv2a	SV2A
Rnf38	RNF38
Tpr	TPR
Nudcd3	NUDCD3
Wapl	WAPL
Rad52	RAD52
Cbx1	CBX1
Mbtps1	MBTPS1
Tulp4	TULP4
Tmem87a	TMEM87A
Cep170	CEP170
Hbp1	HBP1
Pik3ca	PIK3CA
Synrg	SYNRG
Pja2	PJA2
Tex10	TEX10
Psmc2	PSMC2
Ppp1r9a	PPP1R9A
Rere	RERE
Pigs	PIGS
Mtdh	MTDH
Ssfa2	SSFA2
Luc7l	LUC7L
Brwd1	BRWD1
Slc20a2	SLC20A2
Kctd13	KCTD13
Sema6a	SEMA6A
Eif4a2	EIF4A2
Erp29	ERP29
Phf12	PHF12
Sik2	SIK2
Zfp317	ZNF317
Hnrnpa3	HNRNPA3
Pnisr	PNISR
Prpf40b	PRPF40B
Ash1l	ASH1L
Adgrl1	ADGRL1
Atp6v1b2	ATP6V1B2
Arhgap17	ARHGAP17
Stambp	STAMBP
Krit1	KRIT1
Kmt2d	KMT2D
Gria4	GRIA4
Hspa5	HSPA5
Dip2a	DIP2A
Ints6l	INTS6L
Cs	CS
Ubfd1	UBFD1
Cnrip1	CNRIP1
S100pbp	S100PBP
Gatad2b	GATAD2B
Lonp2	LONP2
Serinc1	SERINC1
Tab2	TAB2
Cnot3	CNOT3
Fut9	FUT9
Plp1	PLP1
Afdn	AFDN
Casd1	CASD1
Selenot	SELENOT
Psen1	PSEN1
Ints10	INTS10
Agbl5	AGBL5
Aig1	AIG1
Dvl3	DVL3
2010111I01Rik	C9orf3
Peg3	PEG3
Kif3a	KIF3A
Adar	ADAR
Cdk13	CDK13
Usp8	USP8
Oma1	OMA1
Efcab14	EFCAB14
Ywhaq	YWHAQ
Gltscr1	GLTSCR1
Gtdc1	GTDC1
Fnbp4	FNBP4
Dazap1	DAZAP1
Rif1	RIF1
Arhgef1	ARHGEF1
Arl8b	ARL8B
Hp1bp3	HP1BP3
Omg	OMG
Celsr2	CELSR2
Trp53bp1	TP53BP1
Vezt	VEZT
Mef2a	MEF2A
Atg4b	ATG4B
Map2k4	MAP2K4
Hmgxb4	HMGXB4
Tmbim6	TMBIM6
Spg7	SPG7
Zfp652	ZNF652
Rnf141	RNF141
Tmem245	TMEM245
Gria2	GRIA2
Myo18a	MYO18A
Ccnc	CCNC
Tra2b	TRA2B
Ralgapa1	RALGAPA1
Sars	SARS
Sf1	SF1
Kat6a	KAT6A
Cbx5	CBX5
Supt20	SUPT20H
Dtna	DTNA
Arid4a	ARID4A
Sgip1	SGIP1
Zfand5	ZFAND5
Nsfl1c	NSFL1C
Fto	FTO
Mrs2	MRS2
Iws1	IWS1
Chd2	CHD2
Chd6	CHD6
Smg7	SMG7
Usp14	USP14
Rap1a	RAP1A
Dnajb2	DNAJB2
H13	HM13
Aff4	AFF4
Rnf216	RNF216
Cdc73	CDC73
Srsf6	SRSF6
Eif2d	EIF2D
Gpr137c	GPR137C
Rnf13	RNF13
Pde7a	PDE7A
Dguok	DGUOK
Ube2e3	UBE2E3
Tcf25	TCF25
Zfp827	ZNF827
Amd1	AMD1
Usp31	USP31
Zfhx2	ZFHX2
Mark1	MARK1
Kctd3	KCTD3
Prrc2b	PRRC2B
Fermt2	FERMT2
Dctn2	DCTN2
Ank	ANKH
Ap3s2	AP3S2
Nlgn2	NLGN2
Msmo1	MSMO1
Dctn1	DCTN1
Eif4g3	EIF4G3
Rab30	RAB30
Dhdds	DHDDS
Bace1	BACE1
Tspan7	TSPAN7
Srpk2	SRPK2
Kmt2e	KMT2E
Ptch1	PTCH1
Ap3m1	AP3M1
Fam133b	FAM133B
Elovl6	ELOVL6
Dcun1d1	DCUN1D1
Eif5b	EIF5B
Hif1a	HIF1A
Arhgef11	ARHGEF11
Tcerg1	TCERG1
Nckap1	NCKAP1
Cdc42se2	CDC42SE2
Trim32	TRIM32
Usp34	USP34
Gnb1	GNB1
Ralgapb	RALGAPB
Wac	WAC
Smarcb1	SMARCB1
Tardbp	TARDBP
Madd	MADD
Ccnh	CCNH
Ap3d1	AP3D1
