ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
CC	GO:0098794	postsynapse	13/73	450/18698	1.7749423766280527e-8	3.0529008878002504e-6	2.2980832876342156e-6	ADD2/ASIC2/CLSTN3/DLG4/FRMPD4/GABBR2/GAP43/IQSEC3/NOS1/PRKCG/SHANK1/SHANK2/SLC8A3	13
CC	GO:0043197	dendritic spine	7/73	153/18698	2.2189051353376084e-6	9.035118750387319e-5	6.801221580768913e-5	ASIC2/DLG4/FRMPD4/NOS1/SHANK1/SHANK2/SLC8A3	7
CC	GO:0044309	neuron spine	7/73	155/18698	2.419501676703554e-6	9.035118750387319e-5	6.801221580768913e-5	ASIC2/DLG4/FRMPD4/NOS1/SHANK1/SHANK2/SLC8A3	7
CC	GO:0014069	postsynaptic density	8/73	227/18698	2.8449587490888767e-6	9.035118750387319e-5	6.801221580768913e-5	ADD2/CLSTN3/DLG4/GAP43/NOS1/PRKCG/SHANK1/SHANK2	8
CC	GO:0099572	postsynaptic specialization	8/73	229/18698	3.0362547711256594e-6	9.035118750387319e-5	6.801221580768913e-5	ADD2/CLSTN3/DLG4/GAP43/NOS1/PRKCG/SHANK1/SHANK2	8
CC	GO:0032279	asymmetric synapse	8/73	232/18698	3.343646940971456e-6	9.035118750387319e-5	6.801221580768913e-5	ADD2/CLSTN3/DLG4/GAP43/NOS1/PRKCG/SHANK1/SHANK2	8
CC	GO:0098984	neuron to neuron synapse	8/73	235/18698	3.6770832123669317e-6	9.035118750387319e-5	6.801221580768913e-5	ADD2/CLSTN3/DLG4/GAP43/NOS1/PRKCG/SHANK1/SHANK2	8
CC	GO:0034702	ion channel complex	8/73	296/18698	1.9770464963729975e-5	4.186806902933845e-4	3.1516355511680726e-4	CACNA1D/CACNB4/DLG4/HCN4/NOS1/SCN2B/SHANK1/SHANK2	8
CC	GO:0034703	cation channel complex	7/73	217/18698	2.190771053860733e-5	4.186806902933845e-4	3.1516355511680726e-4	CACNA1D/CACNB4/DLG4/HCN4/NOS1/SCN2B/SHANK1	7
CC	GO:0097060	synaptic membrane	8/73	317/18698	3.225827813431138e-5	5.513678837107411e-4	4.150443677871551e-4	CLSTN3/DLG4/ERC2/GABBR2/IQSEC3/PRKCG/SHANK1/SHANK2	8
CC	GO:1902495	transmembrane transporter complex	8/73	321/18698	3.5261899539640414e-5	5.513678837107411e-4	4.150443677871551e-4	CACNA1D/CACNB4/DLG4/HCN4/NOS1/SCN2B/SHANK1/SHANK2	8
CC	GO:1990351	transporter complex	8/73	329/18698	4.197528125142389e-5	6.016456979370758e-4	4.5289119244957355e-4	CACNA1D/CACNB4/DLG4/HCN4/NOS1/SCN2B/SHANK1/SHANK2	8
CC	GO:0043235	receptor complex	8/73	374/18698	1.0287364602851526e-4	0.0013610974705311248	0.001024571535344727	DLG4/EPHB1/GABBR2/GPR63/PLXNA4/SHANK1/SHANK2/TRAF5	8
CC	GO:0045211	postsynaptic membrane	6/73	244/18698	3.8089535202603123e-4	0.004679571467748384	0.0035225660375339737	CLSTN3/DLG4/GABBR2/IQSEC3/SHANK1/SHANK2	6
CC	GO:0005891	voltage-gated calcium channel complex	3/73	43/18698	6.298479832459738e-4	0.007222256874553833	0.005436582592228406	CACNA1D/CACNB4/NOS1	3
CC	GO:0098802	plasma membrane receptor complex	5/73	179/18698	6.748471616016713e-4	0.0072546069872179665	0.005460934268224051	DLG4/GABBR2/SHANK1/SHANK2/TRAF5	5
CC	GO:0008328	ionotropic glutamate receptor complex	3/73	49/18698	9.246718327185581e-4	0.009355503248681882	0.007042392286339483	DLG4/SHANK1/SHANK2	3
CC	GO:0098878	neurotransmitter receptor complex	3/73	51/18698	0.0010393527491771202	0.009931592936581371	0.007476046090572269	DLG4/SHANK1/SHANK2	3
MF	GO:0005272	sodium channel activity	4/69	45/17548	2.8881092380201565e-5	0.0077401327578940195	0.006353840323644344	ASIC1/ASIC2/HCN4/SCN2B	4
