Gene	1891_uns	1892_uns	1909_granule	1910_granule	1895_purkinje	1896_purkinje	1893_basket	1894_basket	1903_astrocyte	1904_astrocyte	1907_oligo	1908_oligo	1899_opc	1900_opc
AABR07000247.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000248.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AABR07000248.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Utrn	1935	1652	2066	2373	236	262	3310	3022	8708	7485	2984	1453	9133	9421
Stx11	1	0	16	11	93	61	2	6	1	13	20	8	11	5
Sf3b5	9	4	8	2	2	4	5	5	27	16	11	2	0	10
AABR07000257.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plagl1	11	2	2	2	16	21	3	7	88	79	0	1	1	0
Zc2hc1b	4	7	21	23	4	12	11	5	12	18	4	6	10	6
AABR07000261.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ltv1	90	56	49	75	304	192	68	89	116	76	114	69	35	122
Phactr2	328	295	81	86	6919	9234	4671	4190	2932	3655	538	341	894	1684
Fuca2	62	26	21	26	42	62	75	88	107	76	186	65	24	27
Pex3	342	231	159	161	423	352	254	273	400	241	427	178	117	212
Adat2	40	45	30	36	52	90	31	29	60	69	79	45	141	62
AABR07000276.1	0	0	1	0	0	1	0	1	0	0	0	0	0	0
Aig1	7526	7634	5370	6766	2362	2870	2718	2587	5244	4472	5053	2364	1866	3191
Hivep2	2108	1642	436	735	513	532	390	376	601	317	296	98	291	373
Rn50_1_0101.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Adgrg6	260	248	201	200	153	198	139	136	1393	1040	3920	1980	218	200
Vta1	405	351	208	370	394	493	411	442	706	493	850	425	452	523
Gje1	5	1	7	16	0	0	1	5	11	3	0	3	0	13
Nmbr	20	22	7	7	2	2	3	0	12	19	18	6	0	23
AABR07000304.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000325.1	0	0	1	0	2	1	3	0	1	0	0	0	0	0
AABR07000332.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000332.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000332.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000356.1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Olr905	0	0	1	0	1	0	0	0	0	0	0	1	1	1
AABR07000382.1	1	1	13	9	4	13	1	3	4	9	7	4	12	4
AABR07000385.2	48	67	38	26	18	66	37	50	49	32	44	24	24	52
AABR07000385.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000390.1	2	0	19	13	14	77	1	27	19	30	12	6	17	17
AABR07000392.1	0	0	1	0	4	3	1	0	0	0	0	0	0	2
AABR07000398.2	0	1	1	0	0	0	0	1	0	0	0	0	0	6
AABR07000398.1	3405	1504	17496	9566	3667	11402	2597	2808	7758	14634	9245	5267	11779	8254
AABR07000400.1	0	0	4	2	3	10	0	8	13	2	11	2	4	7
AABR07000402.1	1	0	1	0	0	2	0	0	2	1	1	2	2	1
AABR07000404.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000410.1	12	8	16	17	12	29	16	14	17	7	23	11	47	11
AABR07000411.1	648	843	439	453	627	519	433	344	1288	870	1121	440	826	807
AABR07000433.1	3	2	9	8	3	7	4	2	10	10	10	3	3	3
AABR07000436.1	0	0	4	4	1	3	0	2	0	8	4	3	4	2
AC128394.2	17	8	249	128	110	275	27	41	107	172	172	98	241	105
AC128394.3	0	2	68	34	30	84	9	13	42	54	37	26	89	45
Cited2	187	131	46	36	66	74	111	104	106	45	49	14	65	40
AC128394.1	0	0	3	1	0	3	0	0	0	2	0	0	2	0
Txlnb	7	6	131	94	45	57	17	12	47	109	92	26	109	33
LOC100360362	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heca	178	106	38	140	83	63	151	92	158	84	301	107	106	130
Abracl	27	17	4	7	450	448	83	111	66	54	57	12	51	51
Reps1	847	615	498	1005	2496	2611	681	619	1072	783	650	404	687	1168
Ect2l	8	15	44	30	19	29	17	8	30	25	28	10	22	19
AABR07000452.1	17	20	12	9	7	3	23	10	33	35	23	11	11	5
AABR07000451.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc28a	265	206	110	169	210	211	258	175	252	111	200	118	52	182
AABR07000455.1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Nhsl1	480	372	333	285	163	152	442	376	2911	2571	801	362	2385	2833
Hebp2	3	1	2	5	9	18	0	1	7	0	5	0	3	1
AABR07000458.1	0	2	0	0	0	0	1	1	0	0	0	0	0	0
Arfgef3	2391	2160	711	1151	2523	2593	1133	1053	906	500	2039	859	117	841
RGD1560303	0	0	0	0	6	0	0	0	0	0	0	0	0	0
Perp	189	75	77	82	1	1	2	0	1	0	4	1	4	8
Tnfaip3	27	15	0	8	677	579	3	20	61	43	48	31	25	14
LOC102550206	0	0	3	4	3	1	0	1	1	3	0	1	2	0
AABR07000484.1	3	2	5	5	7	5	2	4	5	4	9	3	12	0
Olig3	0	0	0	1	0	0	0	0	0	0	0	0	1	0
AABR07000493.1	0	1	1	3	2	2	1	1	1	2	5	3	2	4
Ifngr1	325	171	133	192	395	426	75	60	175	118	2389	782	131	179
Il22ra2	27	13	8	16	55	12	16	5	16	4	6	2	1	0
Il20ra	0	3	11	10	10	17	5	0	30	24	10	14	14	14
AC136053.1	0	1	0	1	0	3	0	0	1	11	5	3	1	15
Slc35d3	2	0	0	0	0	0	1	1	16	7	2	0	26	20
Pex7	80	54	94	136	124	135	76	69	295	252	385	163	299	192
Map3k5	5614	5024	3207	4404	458	625	439	248	1366	771	968	310	808	364
AABR07000497.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map7	2441	2304	1508	1791	651	1350	2674	2944	4225	2887	48369	22899	5672	8122
AABR07000501.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bclaf1	2179	1765	1000	1752	3016	3397	2060	1922	2447	1419	2533	1070	916	2142
Pde7b	362	363	117	139	7451	8018	298	417	6956	6349	1381	535	6378	8718
AABR07000521.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000523.1	2	1	10	8	5	5	0	2	6	3	2	0	22	14
Ahi1	2513	1837	1297	1607	1705	1727	1959	1653	2263	1424	1089	451	934	1579
Myb	34	36	25	41	1	1	2	5	7	7	5	0	27	30
Hbs1l	1363	1126	1186	1764	2165	3147	1436	1362	2272	1797	2500	972	852	2332
Aldh8a1	9	2	8	13	189	137	8	7	8	25	11	9	19	38
AABR07000533.1	0	1	177	136	40	68	33	15	51	125	68	56	113	97
AABR07000533.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000534.1	0	0	0	0	0	0	0	0	1	0	1	0	0	1
AABR07000534.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Themis	9	8	34	27	30	30	6	5	12	22	27	22	29	21
AABR07000544.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptprk	921	789	163	166	123	93	10354	10497	1988	1591	3955	1800	5319	10860
LOC103690149	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000574.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000581.1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Lama2	270	405	146	144	105	157	290	371	5339	5043	554	331	592	808
AABR07000583.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000583.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000587.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Arhgap18	93	87	25	23	2007	2639	248	339	2324	1551	475	162	123	375
AABR07000595.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000611.1	0	3	1	0	0	0	1	0	1	4	0	0	3	3
L3mbtl3	85	61	77	99	823	1190	319	367	591	509	223	129	199	189
LOC100360791	3	2	2	7	1	4	0	1	6	6	7	2	0	4
Samd3	10	9	6	6	6	7	8	4	206	222	3	5	10	2
AABR07000629.2	0	3	1	0	2	4	3	1	1	0	2	0	2	0
AABR07000629.1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Tmem200a	284	327	21	40	158	187	2276	2734	2948	1602	253	122	12	224
AABR07000631.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGD1559962	3	5	5	1	0	0	5	7	7	10	1	0	2	1
AABR07000639.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Smlr1	7	6	44	53	16	27	8	7	32	21	54	36	35	33
Epb41l2	176	105	11	24	531	572	176	164	1135	1088	4596	1841	2243	3193
Akap7	1942	1659	1212	1771	988	1252	1494	1476	1980	1603	1729	864	503	719
AABR07000658.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000658.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07071851.2	2	3	7	3	4	6	1	2	2	7	10	2	4	5
AABR07071851.1	3	1	2	4	4	6	0	0	2	3	4	2	4	3
Arg1	10	4	24	10	9	8	34	28	13	10	14	3	11	8
Med23	799	612	1858	1447	1041	1293	831	856	1345	1395	1446	861	1691	1168
Enpp3	7	4	43	36	10	22	6	11	20	23	11	5	22	14
AC127189.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Enpp1	215	173	49	75	66	70	2811	2590	278	257	553	293	257	1093
Ctgf	4	0	0	0	0	0	6	3	6	10	4	0	9	118
Moxd1	22	19	38	47	2029	2561	10	17	35	36	15	15	68	50
Stx7	334	281	257	293	431	563	294	275	481	523	835	361	538	629
Taar9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000663.1	0	1	1	5	6	3	3	0	3	2	1	1	0	0
LOC100910174	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar8a	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC128759.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar7h	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC128759.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar7g	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Taar7e	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar7d	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar7c	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar7b	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC128759.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar3	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Taar2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Vnn1	0	0	3	2	15	1	0	0	1	1	0	0	0	1
Vnn3	2	0	6	2	1	1	0	0	2	1	1	2	5	1
Slc18b1	615	465	1183	898	260	485	372	285	798	644	460	215	361	443
LOC100910237	3	2	0	1	0	3	3	0	1	1	1	4	0	0
Rps12	45	15	25	24	34	57	32	23	44	66	77	68	25	85
AABR07000670.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000670.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000670.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eya4	75	65	53	57	70	63	49	34	97	125	3718	1402	579	412
LOC100910446	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcf21	2	0	0	0	0	0	0	0	0	0	1	0	0	0
Tbpl1	903	555	544	779	901	1240	896	841	1232	828	1068	517	487	857
Slc2a12	82	51	33	53	29	58	122	90	175	154	107	53	121	251
AABR07000714.1	0	0	0	0	0	0	0	1	0	1	4	0	0	0
AABR07000714.2	1	0	0	2	0	2	2	0	2	0	30	13	1	0
Sgk1	2269	2352	663	1192	1295	2312	6651	6384	5044	3607	9595	3970	1497	4345
AABR07000720.2	1	1	0	1	0	0	20	26	13	36	1	0	0	6
AABR07000720.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020N01Rik	1	4	26	19	12	25	8	3	9	22	19	22	27	25
AABR07000723.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000723.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AABR07000725.1	0	0	0	0	0	0	0	0	0	0	2	1	0	0
AABR07000733.1	15	7	8	10	0	1	2	0	26	1	53	35	1	0
LOC501467	153	104	2	5	0	23	37	11	83	21	192	39	6	42
AABR07000740.1	2	2	0	0	0	0	1	0	4	0	10	4	0	4
RGD1562660	18	7	2	0	0	0	3	1	8	3	16	17	0	3
Clvs2	677	665	391	563	1571	1517	497	606	388	287	61	22	117	191
b	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rn60_1_0253.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rn60_1_0254.1	0	0	1	0	4	2	0	0	4	0	0	0	0	0
Trdn	32	31	106	86	71	91	36	24	114	87	45	43	57	42
AABR07000900.3	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Nkain2	1818	2231	656	699	80	145	7136	7462	3608	2543	20052	8484	1187	2376
AABR07000900.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000900.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000902.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf217	816	827	601	1138	96	160	740	812	1624	1391	982	344	405	717
Tpd52l1	3037	3013	1126	2195	119	128	310	284	411	187	316	80	269	348
Hddc2	333	311	221	330	125	65	96	107	177	205	87	35	211	170
5S_rRNA	19	15	6	19	38	66	25	43	40	21	16	6	10	9
Hey2	3	3	2	1	8	33	1	2	65	42	18	9	0	2
Ncoa7	2398	2332	1200	1584	4450	5173	2205	1869	1784	1099	2164	1045	726	1331
Hint3	78	63	5	30	88	173	50	67	114	80	115	109	42	71
Trmt11	293	258	268	393	284	522	327	331	489	373	509	198	254	327
Cenpw	0	0	0	2	0	1	0	0	0	1	0	0	0	0
AABR07000968.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000968.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000968.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000968.4	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AABR07000978.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rspo3	7	1	25	23	11	11	7	1	22	22	5	5	10	10
Rnf146	129	108	93	206	371	370	168	117	189	136	257	90	270	207
Echdc1	222	139	28	55	293	293	72	87	261	77	429	149	60	123
AABR07000986.1	0	2	0	0	16	4	2	0	16	2	4	2	0	0
Soga3	1603	1326	684	1151	3718	4064	1239	1294	2147	1710	2614	1026	904	1283
Gm9996	0	0	0	0	13	7	0	1	0	0	10	2	0	1
AABR07000990.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl36	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC679739	1	1	4	0	0	0	0	2	2	2	0	1	2	5
RGD1311933	1	0	1	1	7	5	1	0	0	3	2	0	2	1
AC094217.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC094217.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl26-ps2	1	1	0	1	0	1	0	0	0	0	0	1	0	0
Lrrc14b	49	14	7	9	26	15	28	15	36	10	54	11	9	22
Ccdc127	190	116	20	26	27	27	80	70	107	67	122	37	100	133
Sdha	717	488	282	379	638	509	634	634	933	554	632	239	399	382
Pdcd6	170	124	163	133	427	476	164	154	257	211	167	94	211	158
Ahrr	5	12	88	127	55	76	18	13	24	54	23	35	44	64
Exoc3	437	336	309	374	899	1417	535	571	850	630	805	345	369	618
Slc9a3	41	28	13	5	6848	9475	1	1	18	21	70	23	13	6
Cep72	6	5	3	5	9	15	2	3	6	10	127	25	1	7
Tppp	244	145	128	183	200	287	150	183	141	158	1196	572	148	216
Zdhhc11	6	3	6	12	12	8	14	9	12	5	8	8	10	5
AABR07001001.2	4	2	3	4	2	1	2	1	4	2	5	4	2	1
Brd9	340	328	520	676	699	914	494	490	916	941	1092	699	810	786
Trip13	16	16	11	17	70	37	4	3	36	15	71	10	38	9
AABR07001001.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nkd2	4	3	4	6	8	3	6	2	26	11	12	10	21	84
Slc12a7	11	5	5	3	21	42	16	9	88	40	50	19	83	61
AC142421.1	0	1	0	0	0	1	0	0	1	0	1	0	0	0
Slc6a19	0	2	5	3	8	6	1	2	4	12	34	13	17	1
Slc6a18	0	0	1	2	30	0	0	0	0	0	0	0	2	0
AC142421.2	0	1	0	0	0	1	0	0	1	0	0	0	0	0
Tert	3	5	3	4	3	7	13	23	38	28	53	20	81	33
Clptm1l	166	71	122	103	156	127	109	100	148	165	133	71	65	127
Slc6a3	5	1	1	0	9	35	6	1	8	10	1	0	3	8
Lpcat1	484	328	495	625	204	169	438	479	598	605	92	47	1479	961
AABR07001003.1	2	2	14	4	4	5	2	3	11	32	4	4	10	1
LOC100910528	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100912599	8	4	8	2	1	4	4	8	1	8	3	3	0	0
Irx4	1	1	0	0	0	0	0	0	0	0	20	1	0	4
AABR07001006.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07001010.1	0	1	8	4	5	2	1	1	15	6	2	1	1	21
Irx2	2	1	1	3	0	0	0	0	26	17	0	0	10	147
AABR07001018.5	0	0	0	0	1	0	0	1	0	0	0	0	0	0
AABR07001018.3	0	0	0	0	2	1	0	0	1	8	0	1	1	1
AABR07001018.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07001018.4	0	0	2	5	0	0	0	0	0	2	0	0	2	0
Irx1	3	6	0	3	0	0	1	1	89	98	2	13	56	115
AABR07001018.2	0	4	1	0	0	0	0	0	25	10	3	0	0	0
AABR07001019.1	0	0	0	0	0	0	0	0	5	10	0	0	0	0
AABR07001025.1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
AABR07001035.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adamts16	259	324	204	327	15	67	307	231	269	135	214	45	29	93
AABR07001037.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ice1	1012	548	575	770	1028	1061	836	727	1115	796	1344	509	612	901
AABR07001048.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07001053.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC679881	1	2	0	2	0	1	1	0	0	2	2	0	0	0
AABR07001054.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AABR07001054.2	1	2	16	10	9	10	3	2	15	16	6	4	17	7
Med10	16	6	4	39	7	17	7	21	36	6	64	4	6	43
AABR07001057.1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Ube2ql1	638	627	216	342	873	1000	475	496	449	350	48	12	103	312
Nsun2	183	163	182	254	128	238	190	179	243	141	334	166	103	150
Srd5a1	190	132	83	128	59	49	111	71	165	92	1052	355	17	71
AABR07001060.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Papd7	293	220	329	399	333	510	337	328	671	557	415	218	285	803
AABR07001061.1	10	8	96	84	19	31	11	11	71	80	18	12	73	34
AABR07001064.1	7	4	1	5	8	11	3	4	2	2	1	4	2	8
AABR07001068.1	99	93	28	28	26	99	71	83	2464	1326	116	24	1220	1483
Adcy2	173	153	24	26	71	66	75	118	2497	1778	144	57	1132	2073
AABR07001099.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGD1308544	7	12	2	3	3	17	6	6	96	46	5	2	4	71
Fastkd3	149	102	27	70	148	176	88	83	240	108	184	74	77	150
Mtrr	215	181	92	120	92	132	166	191	293	181	257	106	141	101
LOC680200	76	59	10	26	37	67	48	25	74	44	63	27	117	54
AABR07001099.3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zfp874b	197	138	42	107	106	83	155	116	228	249	295	117	67	194
AABR07001099.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07001099.1	46	28	1	10	70	37	20	30	66	39	72	17	15	13
LOC102549842	631	501	157	173	447	696	347	393	777	360	1047	478	129	742
LOC102547287	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26965	11	11	15	40	14	76	13	9	32	16	43	27	2	2
rno-mir-29b-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rno-mir-3556b-1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AABR07001151.1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
LOC100912293	19	13	4	20	738	949	51	62	104	90	149	121	178	264
LOC102551340	146	114	25	51	215	136	74	85	175	128	409	187	49	202
LOC501406	45	33	4	16	19	29	33	29	32	13	60	13	14	36
AABR07001207.1	3	0	0	0	10	9	1	6	5	9	2	0	13	13
AABR07001210.1	2	1	2	1	14	10	4	11	5	7	9	1	4	58
AABR07001233.1	125	113	81	48	871	1166	199	217	502	237	82	31	594	984
AABR07001348.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Ppp1r14c	237	246	86	141	33	52	109	119	3672	2643	258	117	2529	2405
Iyd	3	3	7	9	4	6	7	1	53	41	4	6	36	40
AABR07001358.1	0	3	12	9	5	8	4	2	3	2	2	1	7	10
Plekhg1	249	170	18	23	20	8	84	66	1455	861	4235	2028	712	978
Mthfd1l	2906	2521	2472	3653	539	488	1645	1077	2515	1459	2763	1165	1180	1607
AABR07001367.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akap12	2696	1768	2161	2858	860	981	1175	608	1708	1236	539	121	548	761
Zbtb2	69	38	29	23	79	49	28	19	68	44	76	20	1	49
Rmnd1	585	531	287	429	658	1031	590	559	948	679	743	273	535	776
Armt1	162	108	68	168	115	196	179	153	312	258	390	127	110	209
AABR07001374.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc170	19	15	19	14	7	12	8	10	254	148	30	18	81	34
Esr1	201	227	142	155	237	262	54	72	370	318	76	59	224	131
Rn50_1_0427.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07001379.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rn50_1_0430.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syne1	48229	45577	31180	48339	19783	24158	14102	12394	25184	17748	6879	2346	6972	7554
AABR07001387.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myct1	1	0	0	1	7	1	0	0	1	1	1	0	1	0
Rn50_1_0435.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vip	0	1	1	2	1	0	1	0	0	0	0	0	1	0
AABR07001392.1	0	0	2	0	3	0	0	0	0	0	0	0	0	0
Fbxo5	18	12	5	8	26	22	12	15	7	2	11	4	2	12
Mtrf1l	134	95	74	146	166	265	119	130	164	236	94	48	359	136
AABR07001406.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07001406.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rgs17	677	700	456	600	80	70	321	268	306	286	36	25	94	275
AABR07001408.1	0	0	0	0	0	6	0	0	0	0	0	0	0	0
Gm5414	0	0	0	0	0	0	0	2	3	0	0	0	0	0
AABR07001416.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07001416.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oprm1	163	96	132	156	45	82	21	20	60	71	350	135	83	56
Rn60_1_0436.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rn60_1_0436.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ipcef1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rn60_1_0437.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnksr3	3770	3094	3567	5040	18	25	232	145	1612	1357	4202	2595	1681	1780
AABR07001435.1	6	6	12	7	1	5	0	7	7	12	3	6	2	16
AABR07001438.1	0	0	0	10	0	0	0	0	0	0	0	0	0	0
Scaf8	1984	1718	1766	2593	2426	3103	1932	1748	2715	2319	2764	1256	2337	2444
