Gene	1464_lt_granule	1465_lt_basket	1463_lt_glia	1468_zh_granule	1469_zh_basket	1467_zh_glia	1410_sg_granule	1426_sg_basket	1394_sg_glia	1411_or_granule	1427_or_basket	1395_or_glia
LINC01350	2	11	7	6	7	7	10	9	3	14	14	39
NEK7	321	128	3127	725	307	3584	1073	248	2782	363	386	14445
ASPM	2	0	0	3	6	12	3	9	11	2	11	31
CR1	9	9	35	8	6	22	15	18	20	6	8	127
PPP1R12B	5984	2383	7039	6912	3138	8356	12389	4881	5324	7700	4507	37032
PIK3C2B	310	393	2387	265	487	2083	647	891	1907	598	808	15828
RASSF5	252	669	112	247	798	154	634	1295	233	481	991	865
CDK18	39	11	2498	74	113	2531	92	15	1835	113	72	17650
FLVCR1	497	599	318	567	427	397	1009	948	193	691	946	1642
ESRRG	302	20200	11307	797	24600	27014	371	38908	19020	233	35902	67145
KCNH1	21731	206	2857	21864	347	1520	33489	166	1116	22126	740	12697
LPGAT1	1952	2472	8289	1829	2279	4695	4376	5239	4065	2886	4671	38518
PROX1-AS1	912	38	601	1010	34	681	1907	42	608	928	58	2962
USH2A	72	360	119	55	517	217	141	691	157	87	650	802
SUSD4	1240	1507	524	1251	1595	559	2540	2875	581	1907	3025	3076
WDR26	1201	768	1188	1380	844	1414	2430	1939	1046	1568	1422	6002
RAB3GAP2	2269	1311	1642	2502	1141	2005	3897	2277	1346	2438	1923	7431
LYPLAL1-AS1	26	50	152	13	106	170	46	175	107	15	76	379
DISC1	0	0	0	0	0	0	0	0	0	0	0	0
TSNAX-DISC1	40	57	106	73	67	101	119	182	42	93	134	875
COG2	1512	363	731	1292	435	621	3241	991	579	2436	772	4229
URB2	101	158	139	129	120	140	272	445	130	222	281	971
RGS7	28409	16693	6647	34508	19004	8325	68354	40557	7483	35691	29772	29050
FMN2	5405	4394	11029	6504	4259	17133	10462	8347	15074	6614	7426	54722
PLD5	15422	624	3927	15045	542	3396	27294	1167	4075	16322	929	15223
SMYD3	22491	7583	6147	25960	7555	9313	43618	15096	8556	25170	14711	35274
KIF26B	6171	2878	2290	6218	3144	2627	9000	3543	2526	7920	4318	11643
LOC100130417	0	0	2	0	2	1	0	4	0	0	12	2
CDK11A	159	57	169	212	214	222	213	112	116	90	48	487
TTLL10	4	9	3	10	35	1	46	21	7	9	13	19
VWA1	1	4	48	0	4	41	3	0	23	0	4	468
CFAP74	294	19	32	200	12	32	636	32	17	349	24	356
GNB1	1956	1523	2003	2336	1410	2321	3638	2640	1581	3489	2511	11847
SSU72	201	240	173	271	185	155	489	343	146	506	315	1153
PUSL1	1	1	10	4	6	1	15	5	5	8	8	50
MMEL1	0	1	2	0	1	2	5	0	1	2	2	5
PLCH2	120	214	107	79	238	89	176	558	61	315	441	536
MORN1	2551	514	243	3724	439	236	4174	575	235	3758	768	1113
TTC34	1	0	10	6	2	13	11	10	18	16	5	72
TP73	251	6	11	223	11	5	354	27	15	319	5	121
MEGF6	13	4	24	9	7	43	19	8	31	11	2	95
AJAP1	12	1907	815	10	2717	723	8	4088	444	5	3373	4328
KCNAB2	383	383	105	500	515	140	877	900	101	798	709	482
NPHP4	355	866	558	364	951	667	674	1956	618	480	1344	2968
CHD5	537	1026	15	603	1411	5	1027	1834	40	720	1485	81
NOL9	392	309	364	337	279	314	673	432	400	686	490	1997
DNAJC11	356	375	335	335	488	345	737	670	496	608	721	2209
SLC2A5	0	13	56	4	19	26	7	40	26	5	29	390
SPSB1	5	11	752	6	33	744	16	13	367	17	44	4347
MIR34AHG	1	246	105	2	396	147	3	623	133	2	782	925
UBE4B	2982	1733	3176	2908	1661	3461	5306	3153	2391	4572	3230	19289
PIK3CD	104	93	100	87	71	90	136	126	104	160	133	472
SLC25A33	7	207	507	19	205	2719	12	351	724	13	381	3652
NMNAT1	56	185	129	65	172	185	124	305	171	95	312	910
KIF1B	12020	5118	10965	13491	4989	11037	23750	10141	7827	17220	9035	57810
MTOR	1449	2037	1181	1531	1990	1174	2629	4240	1038	2358	3243	7751
CASZ1	7	5	90	6	13	140	8	57	154	9	23	582
TNFRSF1B	2	2	44	3	33	103	1	5	53	0	5	904
FBXO6	61	26	32	57	49	26	145	42	26	112	76	322
MTHFR	138	125	144	218	122	146	216	272	139	213	92	992
VPS13D	3068	2594	2768	3704	2709	3539	5845	5118	2806	4472	4851	15791
LRRC38	4	1956	13	3	1291	8	3	2250	14	4	2857	16
PRAMEF19	0	0	0	0	0	0	1	1	0	0	2	0
PRDM2	1992	1543	1778	2703	1895	1968	4756	3685	1508	3699	2576	10054
CELA2A	44	8	14	57	26	21	72	51	19	99	31	71
TMEM51	682	31	103	898	133	73	2405	315	133	1817	157	321
FHAD1	12	24	13	17	18	18	23	31	25	17	26	102
SZRD1	183	168	176	155	124	191	424	307	232	376	153	1364
SPEN	1443	1229	1580	1527	1043	1862	3210	2057	1248	2695	2049	9154
MST1P2	1	5	16	1	5	10	6	32	8	13	32	134
FBXO42	1835	1555	1491	1918	1473	1600	3556	3275	1425	2509	2422	7242
RCC2	258	230	334	336	209	387	519	425	326	529	387	2664
ARHGEF10L	2631	3404	753	3350	4339	1039	6653	7322	853	5976	6803	5457
SDHB	256	263	229	293	322	369	436	429	330	454	374	1677
KLHDC7A	0	0	0	1	0	0	0	0	0	1	0	1
PAX7	3	2	2	3	3	2	3	3	2	2	5	15
IGSF21	10469	1615	1734	11023	2893	1850	15805	3914	1496	22102	3988	12437
CAPZB	1021	1534	1210	1242	2232	1658	1893	3556	1359	1903	2882	8702
AKR7L	37	21	14	56	22	25	81	50	14	70	20	166
UBR4	2115	1876	2947	2391	1955	3543	4231	4827	3390	3341	3860	19010
TMCO4	5	9	117	9	8	236	12	28	209	9	34	744
KIF17	6	9	12	3	6	5	8	10	7	11	22	57
VWA5B1	1	7	42	1	4	14	4	7	8	5	19	48
UBXN10-AS1	0	7	22	0	7	23	0	21	72	1	20	101
HSPG2	2	17	73	1	18	53	5	54	50	5	37	414
RAP1GAP	370	1016	328	522	1168	238	987	2360	337	1114	2377	2082
ECE1	6	413	393	10	800	593	12	718	234	6	1239	2773
USP48	2663	1752	2309	2845	1631	2280	4696	3735	1834	3201	2675	11115
EPHB2	14	596	725	28	909	961	266	1449	518	132	1615	5705
ASAP3	3	35	320	4	110	395	7	208	326	4	201	2170
HNRNPR	1398	885	1050	1217	586	970	2775	1061	813	1760	1141	5482
FUCA1	52	24	51	56	36	25	84	99	59	83	67	387
RCAN3	740	27	122	645	21	106	1452	6	87	1240	40	599
STPG1	429	148	307	396	157	254	874	419	94	590	125	1481
CLIC4	8	11	2340	21	51	2010	33	33	1143	24	83	10935
RUNX3	2	0	1	2	0	8	2	0	0	2	2	14
RHD	80	91	176	242	211	466	197	227	155	202	251	1091
LOC646471	0	0	0	0	0	0	0	0	0	0	0	0
MTFR1L	64	79	61	62	77	66	125	70	71	116	104	340
LDLRAP1	1435	49	569	1582	82	478	3370	46	237	3540	164	3254
MAN1C1	4346	2201	802	4977	1828	1069	8035	3240	737	6792	4307	4467
ARID1A	1538	1074	2887	1594	979	2773	3248	2216	2793	2517	1833	16574
HMGN2	89	55	111	81	51	157	108	85	41	133	86	405
AIM1L	5	5	3	2	4	3	9	22	6	9	30	35
SLC9A1	244	264	77	247	325	93	447	735	70	511	636	723
TRNP1	47	77	11	80	116	3	118	186	12	100	105	16
GPR3	13	115	10	55	168	62	43	155	7	25	107	48
PTAFR	11	15	114	16	6	63	21	30	57	15	19	651
EYA3	1414	1717	1059	1337	1418	1205	2714	3919	1012	1930	3372	6326
STX12	867	689	575	996	506	643	1654	929	437	1136	898	3093
EPB41	9453	3261	170	8307	3133	156	18032	6650	175	13536	6399	1140
GMEB1	196	130	131	206	152	123	432	204	108	382	206	819
TRNAU1AP	217	156	165	245	158	220	405	175	112	413	255	1236
PHACTR4	1070	1038	1446	1079	859	1451	1876	1713	1107	1293	1610	7134
OPRD1	2	3	2	4	1	6	4	8	7	5	9	20
MECR	157	404	221	166	436	227	290	640	346	309	607	1559
LOC101929406	1	0	0	0	0	0	1	0	0	0	0	2
ZCCHC17	1434	966	730	1559	861	849	2701	1811	651	1938	1623	5091
PUM1	2526	1888	2075	2663	1390	2340	4597	2780	2139	3588	2640	12475
NKAIN1	739	32	265	912	38	514	1985	24	235	1618	68	3396
KPNA6	924	1030	785	967	813	819	1945	1701	598	1730	1598	5304
BSDC1	608	507	579	607	503	817	1288	755	631	974	712	4107
ZBTB8OS	534	590	593	545	754	584	1015	1551	566	798	1315	3392
TRIM62	583	493	842	733	745	1054	1357	1011	737	1174	1017	6580
AK2	785	791	636	856	742	590	1613	1417	702	1409	1186	4036
KIAA1522	12	57	38	7	108	42	26	159	42	19	71	210
TMEM54	15	5	9	31	4	15	51	9	18	48	6	123
ZNF362	559	351	562	541	447	617	1110	712	722	1084	632	3229
C1orf94	3	8	41	2	11	36	2	4	61	6	20	250
KIAA0319L	2199	1363	2666	2049	1212	2586	3984	2573	2606	2995	2252	15147
ZMYM6	447	481	511	493	404	527	1009	1114	386	654	928	2494
ZMYM4	3798	2369	3051	3604	2088	3058	7545	4632	2420	4353	3886	13520
AGO3	1951	1232	2122	2238	1364	2351	3975	2720	1628	2387	2626	10808
MAP7D1	149	214	408	203	344	399	411	426	312	369	331	2657
SH3D21	65	162	32	79	197	23	164	391	34	130	391	91
AGO1	1075	832	793	1200	726	713	2553	1966	694	1941	1563	4535
OSCP1	78	103	91	65	150	98	185	515	121	127	321	587
RSPO1	0	275	7	1	172	2	1	353	2	0	719	6
GRIK3	16	12586	1955	11	16003	2350	15	26031	3521	24	18805	10239
INPP5B	1526	975	920	1541	706	1015	2368	1420	739	1947	1648	4889
MACF1	10080	9081	20073	10917	9239	24203	19214	16948	20626	13014	16016	102181
RHBDL2	365	593	765	467	892	1070	982	1321	756	560	1525	4747
NFYC	767	789	836	717	563	946	1261	1191	784	965	1275	3937
RLF	1559	1289	1106	2410	971	1228	3611	1827	902	2029	1842	5464
RIMS3	446	18	24	568	16	22	812	30	9	915	49	257
SCMH1	4879	4070	3438	4930	3539	4161	8954	7484	3438	5385	6173	17405
SLFNL1-AS1	31	50	20	35	46	22	72	111	18	78	98	182
FOXJ3	3113	1655	2663	3177	1629	2876	6659	3631	2192	3957	2976	12775
LOC339539	13	17	27	20	23	28	48	36	56	19	51	132
PPCS	139	177	110	107	186	168	262	355	154	174	295	843
CCDC30	637	881	602	731	1009	643	1220	1847	651	736	1842	3367
ST3GAL3	2860	2416	1922	3413	2751	2346	6462	4885	1522	3715	4090	9936
MED8	97	85	86	110	115	52	223	309	39	144	157	532
CFAP57	3	15	17	5	9	3	13	69	22	9	22	103
EIF2B3	1057	1087	741	1317	1129	837	2264	2327	509	1612	1960	3505
PTCH2	109	269	292	166	336	558	278	1008	611	264	745	2976
ERI3	1185	1001	2106	1167	847	1966	2257	1751	1675	1640	1351	10795
C1orf228	126	243	599	101	268	1136	237	310	849	182	588	4143
RNF220	170	297	30811	200	791	27186	382	421	18318	422	1556	169410
NASP	769	890	2406	842	925	2084	1466	1463	1660	1060	1199	12417
MAST2	2199	1530	1256	2851	1403	1601	3898	2947	1094	2714	2578	7418
IPP	170	241	259	159	151	295	339	207	285	243	243	1445
TESK2	507	100	2022	744	118	2475	1044	169	1242	713	156	9506
ATPAF1	856	595	438	741	623	526	1681	1173	508	1118	920	2561
RAD54L	193	96	99	172	80	95	408	113	101	282	187	601
FAAH	66	72	163	78	69	136	173	113	85	168	150	1129
SKINT1L	26	76	71	13	155	25	32	303	55	21	238	681
TRABD2B	4	11	35	8	18	26	12	20	33	8	33	154
BEND5	0	0	0	0	0	0	0	0	0	0	0	0
SPATA6	27	1474	9705	47	1633	7863	81	3094	8012	15	2250	43917
AGBL4-IT1	0	0	0	0	0	0	0	0	0	0	0	0
ELAVL4	566	2406	240	594	2569	263	684	4486	219	662	4775	1401
FAF1	8616	5123	7027	10373	5874	7643	17071	10665	5565	10139	9397	34573
RNF11	969	1119	630	1299	951	1104	1965	1934	488	1336	1440	3124
C1orf185	1	51	44	2	33	24	3	48	26	2	166	294
OSBPL9	3507	2076	5135	4005	2297	6862	6767	5268	5575	3681	4379	27581
ZFYVE9	3602	2670	1476	3854	2285	1779	6588	4421	1387	4402	4267	7531
TXNDC12	286	147	206	281	198	202	571	219	165	350	306	1073
SCP2	861	1136	875	975	1065	997	1892	1859	790	1309	2252	4892
PODN	0	14	16	1	42	7	1	61	11	0	61	168
ZYG11B	1485	1675	833	1731	1367	710	2989	2658	615	2397	2604	4236
C1orf123	120	158	262	147	146	272	265	536	305	209	294	1702
COA7	17	18	38	11	11	66	31	16	179	27	33	337
GLIS1	1759	287	83	1133	81	71	3726	115	77	2198	47	406
SSBP3	1754	668	1142	1821	864	1652	3476	1311	1321	3458	1508	8360
YIPF1	155	144	223	185	142	269	290	282	210	243	249	1311
MROH7	0	0	0	0	0	0	0	0	0	0	0	0
MROH7-TTC4	59	19	387	20	27	347	83	27	387	32	47	1529
PCSK9	61	1	2	120	3	5	104	2	11	143	8	35
TTC22	1	1	2	1	0	10	1	0	4	0	0	36
USP24	6436	3082	6303	7702	3664	7311	13819	5762	6587	9103	6089	38679
C8A	1	0	0	0	0	0	2	1	0	0	0	9
C1orf168	145	21	25	118	23	30	146	45	27	126	52	115
FGGY	6856	753	2043	6824	995	2492	12247	1610	1752	7144	1227	8589
LINC01135	2112	332	2025	2170	408	2140	3230	804	1644	2403	378	11982
C1orf87	4	3	15	3	4	8	6	8	13	3	9	151
CYP2J2	9	2	3448	4	77	3326	5	21	3853	1	131	18851
NFIA	23142	9193	14013	27113	9370	22405	41540	18954	16127	29413	16389	79889
NFIA-AS2	297	525	130	273	585	239	437	1265	165	241	1615	723
DOCK7	2437	2873	2048	2762	3331	2177	4822	5572	1982	2651	4419	8625
KANK4	7	10	228	8	10	220	11	8	151	14	25	1410
EFCAB7	490	366	290	565	395	360	1072	969	340	575	908	1762
LINC00466	7	10	10	6	9	9	7	12	5	7	17	64
RAVER2	1733	1676	1196	1867	1371	1925	3545	3337	1200	2033	2646	5940
UBE2U	6	2	7	4	2	10	5	11	5	5	10	31
CACHD1	12	20	4035	16	128	8112	19	13	6730	12	176	25916
JAK1	1978	2133	1955	2288	2158	2750	3785	4026	2324	2703	3653	11747
LEPR	1466	461	724	886	361	934	1983	829	842	1142	645	4043
DNAJC6	6723	3966	12780	6854	3878	6940	12581	7952	5171	8227	7994	55529
MIER1	1181	752	1133	1190	787	1169	2332	1584	917	1468	1464	5911
WDR78	171	425	297	188	525	267	389	1053	279	245	1104	1595
SGIP1	6550	6139	7515	7844	7229	13693	12548	13079	10144	7886	12076	48491
IL12RB2	49	43	55	45	77	89	82	94	79	71	94	541
IL23R	8	10	18	11	14	14	14	14	12	13	20	55
GNG12	2	2	1105	3	31	2254	3	6	1455	1	27	6570
LRRC7	61	46	7078	44	300	18459	70	105	10949	49	327	39016
PTGER3	3	4	1	5	8	4	8	5	8	7	13	29
LOC101927244	3	0	6	2	2	8	4	5	1	3	5	20
ZRANB2-AS2	244	280	692	175	315	650	364	514	428	226	518	1867
NEGR1-IT1	0	0	0	0	0	0	0	0	0	0	0	0
NEGR1	31302	8351	6194	37794	9618	9075	62851	16489	7437	35817	18570	27182
LRRIQ3	23	26	46	16	35	32	36	114	30	14	86	237
CRYZ	40	27	140	69	68	207	43	48	103	114	47	725
ERICH3	561	18	49	456	38	18	806	2	5	550	43	113
ERICH3-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ACADM	707	730	503	499	439	419	1447	1250	489	1033	980	2485
MSH4	911	537	184	1043	679	374	1204	642	150	861	1033	767
AK5	46	1945	7126	78	1981	5725	108	3015	3847	41	3491	29755
PIGK	1028	581	1101	896	674	896	1617	1145	751	1011	1184	4352
ST6GALNAC5	43	214	36	48	346	34	60	802	59	28	441	168
PTGFR	0	0	0	0	1	4	1	1	0	0	3	3
USP33	1864	1559	1402	1817	1208	1300	3384	2847	1049	2554	2312	7296
FAM73A	2062	1449	2032	1721	1281	1949	3158	2539	1116	2272	2041	8532
DNAJB4	541	829	668	1629	961	2744	1040	1403	611	611	1198	3699
GIPC2	33	880	23	40	682	16	50	1618	8	35	1334	124
MGC27382	14	35	16	17	39	18	18	47	17	15	62	65
ADGRL4	2	1	2	4	4	13	3	4	3	2	7	17
LOC101927412	5	2	1	3	3	2	5	4	2	5	5	11
LOC101927434	0	19	1	2	31	6	4	43	0	2	9	11
LOC101927587	41	207	133	34	764	174	101	894	74	32	979	952
PRKACB	6824	5544	5307	7383	6586	3504	14684	13049	3017	7959	10113	21557
SSX2IP	1837	946	258	1841	740	202	3440	1624	152	2130	1233	1360
DNASE2B	3	0	6	1	0	2	7	0	2	3	3	17
SPATA1	698	164	175	600	289	193	1631	612	203	855	483	834
SYDE2	3	5	54	3	11	51	6	5	82	2	1	154
WDR63	2	3	11	5	5	18	6	5	14	3	5	41
DDAH1	1564	839	2093	2352	1028	3788	3678	2323	2897	2154	1664	13502
CLCA3P	14	15	19	16	26	7	19	34	0	24	13	18
ODF2L	1113	1205	723	1241	1338	716	2128	2795	595	1089	1893	3034
SEP15	875	489	697	919	469	693	1907	1084	499	1024	804	3243
LINC01140	22	8	6	25	6	7	28	1	0	27	17	33
PKN2	3408	1765	2869	3631	1848	2618	6999	3697	2319	4015	3155	12544
GTF2B	284	192	254	394	170	292	559	455	205	363	304	1168
PKN2-AS1	66	37	134	45	46	150	131	181	154	97	79	997
LRRC8C	6	75	744	11	147	517	35	86	453	3	179	3033
GBP5	0	0	0	0	0	2	0	0	0	0	0	0
LRRC8D	1777	1443	6205	2040	1616	4949	3543	2721	3930	2384	2791	30749
LOC105378853	1818	325	431	1489	379	416	3542	717	428	2465	557	1997
ZNF644	4112	1827	5222	5006	1813	5460	7026	3470	3102	4416	3034	23831
TGFBR3	16	106	488	14	100	748	23	46	767	27	209	2194
HFM1	2473	2205	1562	2137	1845	1517	4199	3561	1726	3016	3165	6896
BRDT	2	45	4	5	39	8	7	36	5	10	71	63
BTBD8	417	619	1086	417	362	1036	530	794	1002	456	769	4591
FAM69A	3209	1295	2818	2823	1017	2594	6111	1960	1843	3684	2452	13319
EVI5	3884	2737	4505	3947	2626	3554	6844	4960	2800	4701	4516	19719
CCDC18	325	282	775	442	428	1262	919	579	941	484	593	4921
BCAR3	741	483	2039	763	568	3422	1683	686	2898	1253	688	10830
FNBP1L	852	229	1966	807	365	3028	1446	437	2557	1095	356	10403
ABCA4	12	11	3	16	15	6	13	20	27	20	8	9
ABCD3	2128	1109	2021	2055	948	1848	3585	2199	1522	2130	1412	8805
TMEM56	5	4	4	2	0	11	10	3	15	4	5	88
ALG14	637	371	784	727	389	988	1227	779	604	919	854	4608
TMEM56-RWDD3	0	1	2	1	0	3	1	2	2	5	0	31
LINC01057	3873	30	609	3882	44	1036	10622	39	671	4200	178	2715
LOC101928241	7	2	2	4	3	6	9	11	5	6	10	23
PTBP2	3004	1483	6514	3045	1390	4904	6227	2913	3667	3195	2377	26327
DPYD-AS1	0	0	0	0	0	0	0	0	0	0	0	0
MIR137HG	0	1	31	1	1	30	0	3	10	1	0	107
SNX7	2	272	587	1	191	588	1	575	463	2	297	1890
LOC100129620	10	654	89	7	460	102	20	1029	85	12	1008	679
PLPPR5	8	648	340	3	694	594	6	1181	462	4	1102	1708
LOC101928270	0	0	0	0	1	0	1	0	0	0	0	2
SLC35A3	588	304	577	621	309	443	1224	737	328	782	586	2663
CDC14A	4	7	725	5	27	1044	6	41	680	5	20	3792
AGL	1055	917	717	1104	961	895	2272	2007	663	1315	1881	3638
TRMT13	483	273	557	449	350	442	1048	844	431	633	632	2221
RTCA	328	224	364	293	231	313	658	629	216	507	472	2325
FRRS1	7	13	12	8	7	10	9	10	3	7	22	99
SLC30A7	1476	860	1428	1592	813	1330	3087	1711	1026	1724	1226	6128
LOC102606465	528	293	1029	423	445	1432	1087	770	1229	638	890	6543
OLFM3	7218	4409	56	12162	7780	77	18319	11317	107	9044	12802	151
COL11A1	26	42	1792	27	152	2007	31	149	1951	26	70	9718
RNPC3	870	645	1326	824	1075	1324	1580	2135	1255	957	1659	5664
NTNG1	1443	1515	3686	1092	2231	5117	3012	5438	5031	1469	3465	14947
VAV3	156	12951	2322	127	11669	3712	660	22477	1865	53	17847	12197
GPSM2	975	411	1915	1258	580	2130	2590	1128	1572	1217	1059	11001
HENMT1	26	47	29	31	22	29	43	96	10	35	84	194
STXBP3	1380	1525	2860	1243	1294	2404	2594	2598	1798	1433	1850	13018
SORT1	269	1531	9243	371	1257	8964	627	2880	4437	434	2248	44790
KIAA1324	59	612	212	49	466	157	158	914	102	99	670	1265
GNAI3	686	467	498	686	388	463	1374	738	419	814	780	2984
CD53	28	36	37	21	18	32	46	41	1	44	27	267
KCNC4	89	338	78	118	288	102	210	684	76	258	509	557
KCNA2	1135	3241	793	1285	3105	1432	2983	5181	1150	2188	5974	6561
TMIGD3	11	12	29	7	13	17	6	62	6	8	56	116
KCND3	14710	5457	1601	19316	7090	1340	28592	11325	1439	24316	8694	7351
RAP1A	2289	1121	2613	2523	1271	2396	4726	2123	1612	2471	2003	10406
FAM19A3	12	1	1	11	3	1	56	0	0	28	2	5
ST7L	1284	1055	1138	1332	974	1270	2764	2246	1018	1712	2102	6699
CTTNBP2NL	577	538	597	649	617	724	1046	926	416	618	688	2878
LRIG2	738	631	885	720	388	819	1295	1188	765	950	1105	4741
