Gene	1861_granule	1862_granule	1996_granule	1859_basket	1860_basket	1640_basket	1992_astrocyte	1993_astrocyte	1327_purkinje	1329_purkinje	1639_purkinje	1471_purkinje	1472_purkinje
Ugt1a2	0	0	0	0	0	0	0	0	0	0	0	0	0
Agap1	13781	13908	19348	6163	6235	8856	15415	15930	5556	4017	9725	1079	958
Iqca	72	54	25	118	109	49	72	196	322	281	68	12	17
C030007H22Rik	13	6	8	17	13	3	139	174	42	38	9	1	0
Col6a3	2	5	0	6	5	6	2	15	17	18	2	1	0
Lrrfip1	862	807	837	1721	1700	2282	2657	2591	11349	6993	16952	2590	2255
Rab17	1	1	2	1	0	0	1	2	11	1	1	0	0
Hdac4	3999	3603	4081	4607	5588	7031	8014	7784	3069	2384	5417	558	543
Klhl30	19	88	8	4	1	5	2	1	1	1	1	0	0
Kif1a	2426	2130	3917	4455	4122	5167	4607	4724	4514	2797	8044	901	1003
Crocc2	2	2	0	4	0	8	24	2	1	2	5	1	0
D2hgdh	196	198	230	331	295	421	442	604	282	251	291	50	68
Hdlbp	2187	1462	2101	1673	2191	2761	1695	1729	1744	957	3042	313	273
Thap4	401	506	494	714	994	955	454	455	202	159	675	51	70
Farp2	2445	2047	1853	1190	1260	1462	1220	1523	833	416	1501	213	188
Slco4c1	22	10	21	13	36	12	2	14	13	34	135	0	1
Slco6c1	12	15	8	16	12	4	6	17	31	17	26	1	2
Slco6b1	48	31	24	44	76	17	30	83	85	75	43	7	3
Slco6d1	20	19	7	18	24	8	7	16	32	33	14	0	1
Gin1	435	210	251	127	156	217	165	220	153	100	224	34	24
B230216N24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
Pam	369	307	244	9197	11122	10569	1062	1064	93	86	1251	1	6
D1Ertd622e	721	745	411	630	578	663	509	715	502	358	572	88	67
Cntnap5b	268	265	84	518	388	255	163	387	110428	61270	56347	14449	8690
Pign	1854	1489	1088	1999	2402	2596	1282	1571	1889	1201	2546	333	266
Bcl2	1861	1370	2069	881	1007	1652	7945	8241	657	530	1326	129	99
Gm20753	5	55	28	63	70	77	31	72	56	16	80	19	5
Phlpp1	6533	6230	4561	4032	4834	5488	18527	21302	1885	1210	3243	288	255
Gli2	163	105	131	33	34	63	15369	18690	33	32	152	4	6
Cfap221	9	2	0	11	7	8	11	28	12	15	9	1	3
Ptpn4	7912	6825	5079	9348	10978	12269	5429	7252	14002	9685	13436	2259	1758
Sctr	8	5	6	9	9	9	8	34	18	25	5	0	0
Ccdc93	631	599	906	847	868	1049	999	956	448	293	1175	96	88
Celrr	40	12	69	65	55	61	3601	6269	23	29	46	5	3
Slc35f5	849	511	404	966	984	986	492	443	541	420	925	136	143
Nckap5	520	402	412	1530	1663	2024	35783	44365	298	277	776	17	25
Mgat5	2808	2634	2866	18765	19961	24531	1184	1446	5846	3782	8899	972	821
Tmem163	27008	24539	28371	179	214	849	438	398	155	87	2291	13	15
Ccnt2	2562	2230	1874	2396	2789	3280	1692	1997	1460	1214	1957	196	217
Zranb3	120	107	169	241	295	251	934	1102	447	222	467	66	63
R3hdm1	9243	8356	8047	8265	10546	10959	3300	4063	6942	3897	8760	1514	1190
Lct	7	4	2	11	6	1	90	16	4	7	6	2	0
C4bp-ps1	211	113	14	34	59	89	161	132	120	54	139	8	14
Cd55b	4	3	1	9	7	3	6	19	25	18	3	1	2
Fcamr	0	0	0	8	2	1	4	5	2	4	2	0	1
Rassf5	415	411	512	832	879	1001	120	108	273	176	684	56	67
Srgap2	17954	17196	18273	3597	4375	5126	2382	3055	28816	18338	30139	4827	3692
Lemd1	72	80	95	85	88	88	7	21	35	25	95	1	1
Nfasc	5424	4930	7626	7798	8066	10629	13173	13053	9947	5910	17306	2165	1808
Tmcc2	956	755	957	465	506	578	2702	2195	293	173	668	82	48
Cntn2	5328	4772	4993	151	96	132	127	174	25	32	347	3	3
Lrrn2	2114	1673	2569	5482	5010	7113	1657	1462	7476	4043	9411	1551	1154
Plekha6	476	585	760	2660	2904	3664	3218	3143	1224	721	3590	301	349
Lgr6	15	18	41	16	32	23	5243	4527	25	29	8	1	5
Ptpn7	2	2	2	1	2	1	3	20	8	3	6	2	0
Ppp1r12b	8521	6747	7206	5610	6535	7216	3750	4718	13139	10978	11088	1803	1564
Klhl12	962	970	913	864	1089	905	509	458	629	369	666	87	74
Tmem183a	399	350	274	483	473	414	228	198	154	111	337	23	31
Kdm5b	2760	2675	2475	2128	2746	2648	1792	2032	1594	946	2427	332	274
Syt2	6113	6297	7666	8111	7829	9657	56	64	2825	2085	5769	585	517
Nav1	36	33	86	9253	9647	11477	1595	1296	2964	1763	6744	701	625
Ipo9	2484	1979	1883	2538	2894	2128	2409	3037	1918	1000	2465	460	384
Platr22	8	5	10	11	23	8	15	8	17	12	11	3	2
Ptprc	37	36	7	28	20	15	7	10	26	20	23	0	3
Atp6v1g3	1	1	2	1	1	0	0	1	3	1	1	0	0
Dennd1b	5775	4741	4148	8239	9709	10565	2657	3668	4715	2702	5654	884	567
Nek7	72	59	53	121	113	207	2596	3743	1110	574	1133	187	133
Crb1	21	15	4	25	22	13	9	38	70	50	139	3	5
Gm5833	9	10	2	6	10	6	1	12	27	13	6	0	0
Cfh	4	20	5	25	65	45	11	27	31	26	8	0	0
Gm4788	15	8	10	10	11	12	15	9	19	12	11	1	1
Cfhr2	3	5	1	6	12	5	3	1	6	6	4	0	3
4930590L20Rik	13	11	6	32	41	34	6	18	22	18	17	1	2
Uchl5	689	536	369	502	606	568	239	162	332	231	404	68	96
Ptgs2os	4	3	0	4	7	6	6	9	11	13	0	2	2
Hmcn1	349	203	152	64	53	31	10	40	85	50	34	4	5
2310030A07Rik	4	8	0	7	8	12	0	0	31	16	18	0	1
Edem3	2748	2775	2278	2326	3269	3169	1381	1508	2713	1349	3616	559	402
Swt1	1229	1268	1138	1058	1255	1532	1031	1434	815	745	1338	178	187
Fam129a	21	9	8	354	231	392	58	90	172	89	137	30	12
Colgalt2	19	14	16	20	22	14	796	1045	27	36	107	2	4
Ncf2	104	191	212	59	98	204	75	58	45	21	97	9	2
Rgl1	286	83	211	340	395	365	6161	5340	125	41	550	30	23
Dhx9	1719	1777	974	2098	2149	1623	569	784	2062	2167	1285	150	208
Lamc1	1195	761	853	1004	1067	1052	2335	3014	606	327	1060	94	94
Cacna1e	17690	14698	21492	3799	4316	5699	598	713	90	64	798	7	11
Acbd6	2895	3307	3176	3257	3846	4643	1448	1612	2016	1212	3204	407	310
Xpr1	3443	2328	2193	5654	6894	6945	2897	3463	1658	1055	2722	307	258
Lhx4	13	13	3	3	7	2	1	2	5	4	2	0	0
Fam163a	5	4	6	30	52	16	11	29	37	32	465	1	5
Abl2	3808	2870	2482	2431	3005	3347	3995	4144	2149	1173	3625	475	321
Ralgps2	2455	2111	1685	2418	2899	3223	2028	2075	1248	788	2024	221	239
Sec16b	8	11	10	14	30	6	36	87	337	406	228	58	52
2810025M15Rik	15	4	3	6	17	9	57	139	107	37	67	33	11
Astn1	5193	3623	4159	6047	7036	7734	384	346	9973	5535	10638	1737	1109
Rfwd2	5530	5146	3911	5797	6691	7524	2276	2893	3325	2291	4079	530	363
Pappa2	90	40	35	95	155	59	17	36	119	74	68	12	12
Tnr	7706	5327	6792	45010	49855	62149	2193	2210	158	124	4574	8	10
Rc3h1	3206	2297	2170	1937	2128	2364	1573	1316	1326	920	2155	257	233
Dnm3	20840	17470	15814	9122	10502	11600	3135	4427	19158	13312	18566	2876	2608
Suco	2964	2249	1510	3922	4582	3956	1055	1559	2394	1448	2093	363	311
2810442N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
Fmo6	0	1	0	0	2	0	0	4	5	2	0	0	0
Mroh9	2	4	2	5	5	3	2	2	6	5	5	0	1
Mettl11b	6	2	2	1	1	2	2	7	130	31	58	33	10
Nme7	1358	1385	904	1884	2237	2005	1125	1539	1690	1194	1759	263	206
Kifap3	3587	3244	2985	3911	4474	5487	1511	1831	4753	2656	7153	982	712
BC055324	272	172	167	158	227	250	71	123	217	157	161	24	26
Tbx19	3	1	1	2	6	2	2	0	7	7	2	0	0
Dcaf6	5682	4906	3917	4385	4953	4950	2753	3559	9195	5871	7401	1449	1360
Adcy10	1096	1081	763	401	366	327	282	585	633	422	661	112	91
Pou2f1	4885	4779	4317	3702	4469	5676	3443	3860	6205	3457	8020	1303	824
Cd247	25	87	52	53	50	57	44	22	267	187	342	60	52
Gm16701	478	424	251	185	220	169	4	12	1108	680	682	185	133
Uck2	727	646	888	587	525	814	426	222	368	271	683	74	29
Mgst3	289	417	545	222	129	231	34	97	286	161	557	74	33
Pbx1	12961	10919	13760	26830	30236	36698	36508	39566	15201	8472	26417	3217	2443
Nos1ap	1461	1408	1718	32685	36400	45384	17306	18128	221	150	1674	30	39
Atf6	4744	4056	3735	4114	4385	4996	1915	2200	1990	1317	3162	439	403
Olfml2b	2	1	4	8	7	10	63	21	3	1	48	0	2
Ddr2	148	45	59	714	620	579	261	424	37	26	18	2	2
F11r	315	523	154	104	107	64	4	5	907	601	182	48	38
Cd244	0	3	1	3	4	1	1	2	4	6	2	0	1
Pcp4l1	7	2	1	32	31	37	13	7	218	137	300	43	29
Cd48	6	3	5	9	8	2	3	13	11	10	6	0	0
Igsf9	23	1	1	28	17	15	1	0	1	1	0	0	0
Kcnj10	118	126	91	32	28	46	8401	8373	9	7	35	1	3
Atp1a4	66	43	17	16	17	4	2	12	12	10	22	3	1
Copa	1782	1665	1616	1836	2043	2307	1210	909	1173	580	2382	342	266
Mptx2	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifi203	56	23	26	1	3	0	5	14	19	15	4	0	3
Spta1	7	7	1	7	7	4	2	5	16	14	5	0	0
Grem2	8	4	6	17	9	4	0	2	31	16	188	5	1
Fmn2	8685	7514	6359	11889	13322	14680	29025	34512	9907	7124	11834	1485	1323
Kmo	3	2	3	6	8	1	3	8	31	19	30	7	2
Exo1	7	14	10	12	17	17	0	4	19	6	18	4	0
Wdr64	9	11	4	11	20	5	8	14	43	36	18	5	2
Sdccag8	2250	1771	2165	1784	1910	2668	4143	5546	2341	1604	3264	407	438
Gm16432	396	460	232	458	481	458	406	380	398	478	404	76	67
1700016C15Rik	19	14	45	12	31	26	6	6	28	19	5	0	0
Kif26b	15700	12958	15334	661	859	1718	293	239	752	779	2709	124	174
Cnst	2493	1787	1749	3526	3890	3849	784	713	877	655	1099	162	155
Cdc42bpa	15117	13712	11685	18487	21027	24036	4995	5902	20653	13174	27272	3804	3252
Acbd3	707	596	581	705	769	885	729	453	435	292	820	96	106
Ephx1	375	546	500	73	44	93	38	45	1	1	31	1	0
Nvl	2694	1768	2159	1844	2314	2396	1014	1133	1033	703	1625	199	218
Enah	3690	2938	2477	5977	6963	7838	12564	15721	361	200	3012	96	57
Fbxo28	1106	909	1095	1129	1051	1111	891	689	357	331	860	74	82
Disp1	29	41	76	132	159	154	1761	1789	666	420	1219	131	119
Susd4	1780	1684	2141	2062	2337	3057	21	71	8762	5295	11022	1808	1401
Capn8	5	2	0	0	2	0	0	9	19	10	4	2	4
Rab3gap2	1901	1812	1912	2050	2211	2540	2451	3149	3519	2086	3776	481	457
Slc30a10	30	14	9	2	0	13	683	495	2	1	6	0	0
Bpnt1	306	380	332	258	246	349	243	107	155	113	414	46	27
Mark1	2549	2636	2173	4579	4828	4993	1187	1339	6480	3919	4887	764	755
A730004F24Rik	3	5	1	5	3	1	0	4	22	11	0	2	0
