Gene	628_nd1_gfp	629_nd1_gfp	630_nd1_gfp	641_pcp2_gfp	642_pcp2_gfp	643_pcp2_gfp	644_pcp2_gfp	796_sept4_gfp	797_sept4_gfp	798_sept4_gfp	799_sept4_gfp	952_glt25d2_gfp	953_glt25d2_gfp	942_glt25d2_gfp	1195_ntsr1_gfp	1196_ntsr1_gfp	1197_ntsr1_gfp	SRR1647854_mo_excit	SRR1647855_mo_excit	SRR1647856_mo_pv	SRR1647857_mo_pv	SRR1647858_mo_vip	SRR1647859_mo_vip
Pgap1	2639	3257	2722	495	657	502	634	2064	2035	2385	2059	2998	3156	4573	1284	1213	1662	1795	1965	887	1352	5211	3607
Plcl1	2572	3290	2050	40	94	92	115	6954	3914	4903	5837	7829	10429	18638	542	583	631	9687	8413	11105	10084	10014	7917
Pard3b	43	27	26	1438	2072	1893	1866	17659	7603	8324	8030	1550	1223	748	130	134	181	231	301	568	786	627	297
Bmpr2	6117	8436	6264	1564	3910	2241	2642	12108	8818	9561	10108	9314	11559	10706	3872	4416	6358	4105	4875	3238	6850	8496	5463
Pinc	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0
Xrcc5	494	548	347	91	252	140	155	504	558	267	500	679	757	684	233	160	338	696	863	903	1090	1570	1092
Spag16	42	36	17	77	131	94	111	874	761	1531	816	99	187	217	66	34	38	84	106	42	50	300	164
D530049I02Rik	0	0	0	1	1	4	1	2	1	0	0	2	0	3	1	0	1	0	0	0	0	0	2
Erbb4	19260	20941	14755	132	271	364	404	22719	11852	12910	10965	2388	2665	5666	211	262	335	744	1186	192297	186815	396307	294137
Abca12	2	7	0	5	8	5	6	7	1	2	11	18	17	103	29	28	55	143	181	9	17	105	99
Usp37	2032	2689	2003	585	928	721	783	1701	1433	2281	1363	2126	2293	2176	567	448	720	1251	1556	1462	2039	3633	2214
Dock10	49	71	6	12	18	21	51	660	168	142	219	2246	2798	2890	149	157	170	610	650	434	675	15548	11076
Dis3l2	4384	4514	3000	2439	4008	3065	3457	4874	3616	4389	3395	7632	7386	9314	2621	2225	3866	4239	4596	4356	5342	9426	7132
Sh3bp4	270	139	273	2	6	6	9	417	159	153	97	333	398	296	320	206	328	524	807	49	87	231	122
Ugt1a9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ugt1a10	0	1	0	4	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0
Slc16a14	119	325	113	6	6	25	17	9	8	8	39	338	313	289	109	103	110	367	531	476	788	569	479
Pask	178	388	202	54	73	98	90	7	6	1	67	97	290	206	74	39	87	335	417	315	397	797	519
Serpinb12	2	5	1	0	1	1	1	2	0	0	0	3	1	1	1	0	1	0	1	1	3	5	0
Cdh20	784	1005	742	28	59	163	91	37401	24635	27424	25564	11426	8082	11925	417	501	658	2567	2871	5372	6376	25168	18329
Cntnap5a	86	139	75	8512	13247	11088	10100	129	105	314	124	36088	27566	45714	1316	1852	2191	11085	13161	25657	26675	15688	11068
Cdh7	7031	8054	6015	52	137	189	170	1262	276	784	545	4404	5673	6723	275	312	450	1206	1252	4615	6124	4525	3289
Clasp1	9183	11998	8566	2881	4550	3378	4264	7188	3051	4517	3380	6669	7047	9844	1876	1737	2975	8299	9323	10959	13859	20795	14115
Dpp10	12879	12286	8337	84284	111985	100067	107261	353	565	951	935	62204	54878	85010	13385	13106	19001	27047	28037	16244	17407	64392	44921
Rab3gap1	2120	2944	1836	1044	1432	1148	1390	1583	1110	1143	1496	3103	3005	3838	841	759	1103	2201	2621	2004	2900	5143	3395
Cdk18	38	7	11	1	6	3	10	2	1	2	0	129	296	151	27	6	13	425	427	230	358	114	65
Mapkapk2	332	298	335	336	614	498	597	110	70	131	213	607	677	678	84	53	97	967	1129	1235	1614	1748	1287
Thsd7b	223	292	225	88	182	128	106	44	34	60	23	3300	2654	3901	9207	8419	13867	2749	3876	600	878	10499	7977
Kcnt2	21	2	5	10	22	11	18	16	3	6	10	18281	17149	22381	5896	6388	8974	9355	10208	505	861	67754	45599
Aspm	14	0	5	0	5	2	7	1	4	3	1	8	10	48	11	3	4	23	26	57	73	48	44
Rnpep	447	362	423	72	76	120	84	61	49	99	133	247	342	290	128	87	182	459	605	831	1122	1809	1154
Camsap2	4771	6000	4621	2290	3524	2583	3461	3557	2144	3396	1958	4405	4267	4878	1415	1384	2245	5296	6065	5303	7860	11409	8351
Brinp3	8172	9736	6908	3239	4719	4096	4916	12601	6045	8755	6445	22719	15412	27372	6524	6464	8702	7819	8104	2979	3982	30538	21673
Pla2g4a	2	4	9	8	9	4	13	85	175	28	88	216	141	45	25	27	28	40	42	12	28	28	14
Cdc73	3218	3797	2610	2880	5259	3225	4171	7093	6423	10079	5966	6810	7676	8571	2658	2571	3647	2061	2234	1829	2955	6353	4277
Rasal2	2934	4025	2029	21754	28552	25353	31285	13744	7708	10762	7813	25852	25324	35602	6557	5717	8917	12591	12707	10344	12873	21404	15918
1700025G04Rik	19098	21171	15483	327	480	429	396	1706	1074	2271	1508	5697	6392	8616	1228	1009	1586	6348	7523	7869	10124	19215	14729
Stx6	1478	2240	1477	368	607	453	618	1234	922	696	697	1923	1361	1833	517	425	734	2152	2477	1307	1803	2882	2184
Nmnat2	27336	29474	18486	3044	4990	4120	4042	737	718	858	1003	8516	6895	9325	1948	1822	3046	7756	9195	11224	12990	26396	20072
Brinp2	2084	2135	1491	3055	3659	3598	3763	159	16	11	10	6169	6433	10408	2491	2051	2725	8812	8876	7901	8818	2716	2095
Rcsd1	5	2	4	3	18	4	6	3	3	2	5	360	119	61	8	2	1	26	37	34	52	74	47
Rabgap1l	29775	34233	23119	122	356	376	394	6969	3985	4859	3367	27286	23775	33953	6900	6718	10733	14399	14825	11572	13671	25982	18257
Fcrla	1	1	1	0	0	5	0	0	1	0	0	0	1	11	3	1	2	1	2	2	13	2	11
Rgs7	52318	57406	35061	11783	15401	14136	15251	332	211	1116	351	37266	28879	50943	6250	6216	9133	37881	33323	18781	20217	43700	31147
Cnih3	5	5	2	11	13	11	18	11	6	18	4	4467	3842	5620	284	274	306	5055	5258	1096	1816	2011	1788
Itpkb	542	510	463	14	12	7	23	2340	2251	2486	1967	314	196	422	17	11	13	630	596	256	302	243	152
Trp53bp2	1153	1174	1077	101	125	121	152	2043	925	687	1645	285	338	362	148	114	248	481	594	596	946	734	445
Akt3	26602	27991	18005	5240	8034	6086	6941	24145	11839	19584	12432	33668	28271	36301	9334	7895	12719	12501	12578	7362	8983	37234	25181
Smyd3	25465	30087	18902	3224	4530	3493	4185	2384	1871	1601	1068	15040	10584	19703	3571	3206	5657	17099	15997	17003	16714	46728	34512
Ush2a	97	169	70	115	138	111	157	135	107	89	81	371	207	495	80	55	99	150	176	353	476	180	172
Mir297c	34	127	20	20	38	33	27	30	21	23	18	168	115	161	25	34	53	87	123	102	122	56	50
Ptpn14	56	5	2	5	11	4	11	4	3	27	48	242	414	499	57	47	72	581	690	32	85	84	83
Tgfb2	163	192	92	513	1066	803	795	37	17	86	21	312	187	261	77	61	109	117	182	235	311	543	404
Rps6kc1	2183	2661	1686	1248	1857	1402	1847	1752	535	780	838	3562	2830	4753	856	810	1344	5069	5581	6417	6164	8071	6113
Esrrg	1811	2209	1205	1702	2479	1831	2290	5138	1174	721	1363	16402	13536	18936	4724	4469	8102	6582	7864	49139	47724	14997	11019
A330023F24Rik	4481	5318	3815	1886	2412	2128	2684	619	659	882	753	3651	3560	4313	1187	1096	1922	7109	7779	14407	17922	27430	20246
Xkr4	10751	11382	7577	8881	11879	10440	11531	1318	595	921	438	32429	27980	46133	13318	13054	20979	21414	24424	66283	62141	85543	59632
Rgs20	1510	1974	1249	47	145	102	130	11562	7172	9960	7594	4189	4262	6266	781	838	1292	2178	2064	470	645	2507	1724
Rp1	6	7	6	19	34	5	20	14	11	10	15	9	9	15	2	6	8	8	9	23	45	34	17
Atp6v1h	2603	2565	2139	2925	4130	2759	3375	2931	2636	3343	2920	7649	7624	8175	2237	1970	3223	2949	3261	3072	4127	6528	4475
St18	13200	16868	11420	73	150	281	279	467	214	412	259	69	177	326	44	28	33	72	113	48	96	1224	824
2610203C22Rik	1	38	0	4	17	7	11	2	2	0	1	125	113	60	29	23	32	119	138	82	99	60	38
Mybl1	144	286	329	39	36	47	42	248	10	27	6	23	156	56	34	26	46	53	56	143	210	266	154
Cspp1	4131	4164	3071	2013	3049	2251	2884	4267	2108	2011	1593	5801	6694	7283	1590	1418	1956	3757	4299	3747	4553	7289	5195
Sgk3	703	724	681	135	379	182	315	3096	1717	1144	1715	3123	2979	3875	932	828	1384	2111	2318	1083	1241	1322	1045
Tcf24	0	3	0	0	0	0	3	0	0	0	2	1	1	0	4	2	5	6	16	12	11	1	10
Arfgef1	6237	7565	5538	3187	4530	3068	4234	4184	2453	2997	2363	7267	7587	8026	2303	1875	3001	5421	6005	6035	8407	13012	8842
Adhfe1	46	112	40	27	48	31	68	90	64	75	145	39	51	135	20	8	11	66	47	285	317	115	110
Prex2	138	166	49	35	53	72	88	55523	30257	35885	30547	1656	1169	1631	464	476	879	458	634	138	306	993	911
Mir467e	1	3	0	5	5	5	11	14	8	12	4	18	11	17	7	6	10	4	2	4	3	13	8
Slco5a1	12	9	5	411	624	328	510	8	22	6	27	367	285	303	85	74	83	281	233	462	523	1122	836
Ncoa2	13189	15386	9167	2758	4754	3845	4512	4153	2956	2716	4163	7956	6710	10536	2266	1937	3390	11567	11123	12440	14650	22244	17618
Sulf1	84	45	16	9	29	35	32	9454	5583	5196	4728	472	414	643	721	599	1063	930	1148	39	55	156	79
Eya1	6	9	6	40	91	28	57	1315	735	643	1170	764	161	263	6	15	16	186	209	1118	1644	486	346
Kcnb2	6773	9207	4875	44	57	91	93	40	73	227	115	35432	25695	44637	2147	1838	2186	24570	22179	4484	5228	89140	66829
Tceb1	456	693	543	197	292	219	276	431	591	413	247	534	462	542	181	159	269	484	517	506	952	1352	848
Stau2	4445	4775	3335	4449	6745	5624	5730	2702	560	941	1044	13375	9051	16506	3724	2955	4292	5815	6771	9544	10353	22473	15670
Sbspon	208	218	126	53	110	41	82	438	31	58	27	232	336	291	102	70	86	328	429	213	284	815	661
Rdh10	889	1008	839	393	551	300	438	5531	2531	2507	2347	529	595	775	157	144	233	763	859	1147	1583	1645	1145
Jph1	7833	8994	6755	852	1500	1098	1226	25	52	154	324	3327	2995	4270	2356	2208	3578	3066	2772	357	548	2273	1754
Gm16070	6	17	9	160	224	135	212	39	34	36	36	97	228	224	52	44	48	69	57	173	147	168	251
Defb44-ps	1	2	0	4	3	0	5	3	3	2	4	10	5	3	1	0	0	0	1	0	0	0	0
Tfap2d	4	4	3	1	7	4	3	4	5	1	4	9	38	13	11	11	19	52	64	0	8	12	10
Pkhd1	35	42	37	291	544	408	470	178	179	175	208	254	229	211	125	65	63	52	34	58	60	57	39
Kcnq5	328	118	217	33	56	71	72	95	68	47	28	79958	49696	92517	3954	4635	6236	40884	38109	15392	18546	85525	68997
Rims1	112799	118905	71363	1228	2288	1809	2199	1497	884	2731	1439	48482	40017	66895	18150	16970	26541	41948	40635	28374	32440	62016	45608
Smap1	3358	4252	2716	1060	1713	1082	1525	1521	1828	1617	1612	4246	3960	4829	1651	1282	1903	3304	3789	2810	3832	6044	4244
Col9a1	25	78	33	4	6	4	4	147	28	43	55	6	30	7	5	3	10	15	32	40	41	24	5
Col19a1	3322	2727	2508	1744	2878	2170	2638	301	86	33	87	858	1170	1651	296	331	562	3196	3263	16115	16879	6547	4280
Lgsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4931428L18Rik	0	0	1	16	9	4	9	25	1	5	4	14	4	10	32	13	25	4	7	1	3	17	4
Dst	35332	40072	28315	6495	9830	7693	9687	15350	12312	11871	12488	18101	18816	22534	6128	4818	7976	23496	28447	29699	40376	58943	43573
Ptpn18	83	9	34	0	2	2	5	2	1	2	3	33	3	6	0	2	1	9	10	15	17	30	16
Plekhb2	778	1056	896	333	564	305	520	318	714	343	337	504	640	774	168	133	169	1298	1436	2134	3190	4453	3083
Lman2l	1100	1303	1299	171	279	183	261	146	319	78	291	506	547	526	161	127	212	804	1058	563	771	1664	1353
Fam178b	12	46	45	12	21	17	24	21	6	4	18	16	10	10	3	7	2	23	34	14	29	40	30
Uggt1	2951	5554	3188	1508	2113	1633	2182	2454	1411	1747	2177	2682	3313	4247	1027	801	1242	3434	3983	4987	7260	7807	5400
Inpp4a	6335	9144	6090	10175	11999	10452	13542	2956	1874	1357	1702	3645	4320	5385	1632	1159	1876	10538	11572	8764	11498	15906	11357
4930594C11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnga3	4	2	2	0	1	2	0	2	0	0	1	3	2	2	3	0	0	4	6	5	6	6	2
Mgat4a	3200	4335	2515	1061	1744	1159	1546	842	463	1023	722	2863	2523	2385	693	573	909	2506	2878	1111	1439	4131	2820
Tmem131	6599	9514	6770	1542	2738	1869	2591	4308	4256	4971	5303	3136	4508	4778	1444	1195	1965	6884	8075	6463	9058	14597	9732
2010300C02Rik	2162	2782	1675	5	25	11	20	3	5	55	44	6411	7167	8400	1385	1141	2146	10343	10546	817	1472	4518	2419
Mitd1	181	122	156	92	76	63	72	41	141	76	104	200	209	144	52	38	52	184	210	345	562	452	408
Eif5b	3235	3359	2427	761	1397	995	1304	2017	1222	866	1117	2801	2781	3384	946	648	1037	2021	2333	2207	3166	4780	3128
Aff3	3154	3645	2373	2012	3180	2704	2918	5969	1872	2431	2378	18827	15791	26245	2944	2499	4326	15506	15141	19189	21491	32376	24062
Rfx8	0	5	1	5	2	6	17	39	43	27	148	13	90	3	1	3	12	11	10	12	19	69	83
Npas2	128	44	275	14	35	40	18	2394	1562	1490	2358	7940	6191	10125	1148	1036	2008	11883	11367	2855	4144	6605	5091
Tbc1d8	5061	5729	4050	93	114	133	155	84	148	170	197	950	1062	1191	463	269	537	1913	2013	1342	1702	5794	4691
Map4k4	5932	8349	5808	1976	2955	2389	2914	8264	4318	5232	5060	3461	3601	4913	771	609	790	4125	4509	5044	6166	10487	7233
Il1r1	183	281	297	382	744	616	541	51	131	76	82	43	48	51	48	33	54	125	116	482	771	236	224
Slc9a2	9	3	5	7	16	12	19	13	4	7	7	537	681	468	30	32	51	33	58	33	46	409	340
Il1r2	0	2	10	1	3	0	1	1	1	0	1	12	3	5	9	4	10	8	9	12	16	26	7
Mrps9	2315	3201	1804	673	1338	887	1168	1584	592	963	533	2164	2372	2920	517	494	745	2083	2366	3032	4035	4980	3710
Nck2	2774	2975	3091	645	871	640	668	1295	796	905	1238	3279	3232	4083	1475	1234	2044	4187	4928	2550	3462	4343	3030
Uxs1	2411	3804	2357	1059	1622	1072	1291	720	699	1066	1055	2867	3078	4700	1179	881	1525	3907	4081	3983	5177	6257	4396
Gulp1	28	7	6	15	39	27	24	5080	2822	2364	3583	918	520	211	27	42	73	47	64	53	62	1238	1013
Ercc5	1103	1321	1022	513	739	521	876	1182	1004	1576	1422	1085	1367	1449	436	388	589	942	1154	830	1253	2832	1985
Col5a2	3	4	4	10	11	17	11	738	597	1971	761	345	66	92	25	18	33	53	55	22	31	16	20
Dnah7c	18	94	45	267	346	242	239	744	543	399	352	272	332	565	132	148	209	347	343	42	56	388	301
Tmeff2	12530	15950	9907	14897	20838	16952	19642	3753	1577	1870	460	34041	26202	44872	7025	7173	11676	12214	13763	11398	14230	18457	12072
9330175M20Rik	148	296	117	364	406	218	311	34	6	13	17	613	770	969	245	232	436	474	531	432	532	423	301
Stat4	1	7	6	15	11	7	11	0	5	3	2	81	120	103	19	15	20	266	182	4	30	318	284
Myo1b	82	57	38	2152	3326	2194	3020	27	52	26	47	934	547	718	126	127	130	3306	3711	3618	4702	3941	2931
Gls	15365	17675	13107	3198	4947	3120	4856	3488	2116	2652	1953	17953	20731	24346	7150	5489	8243	12743	15099	9032	13442	27312	19868
Mfsd6	2124	4225	2300	460	1345	740	1061	431	243	239	230	4103	3874	4440	1197	1208	1784	2522	3095	2770	4945	4783	3456
Asnsd1	34	38	134	49	161	83	123	369	115	124	418	248	111	163	48	33	63	91	110	127	209	319	227
Pms1	2550	2427	1778	647	917	705	795	646	539	791	410	1466	1248	1496	446	384	582	460	450	630	775	1070	891
Hecw2	19329	22882	15396	10561	15930	13132	14586	314	175	281	252	18061	14620	24275	7977	7619	14785	17371	16801	16830	18550	31778	24087
Ccdc150	88	208	30	67	77	55	123	34	122	14	7	278	196	295	70	48	68	188	207	303	346	245	191
Rftn2	35	89	6	24	9	12	33	2563	2274	2202	2442	67	18	38	9	8	10	55	67	78	111	139	115
Boll	9	6	3	9	14	5	5	8	3	3	8	7	23	7	8	6	7	9	12	7	12	27	21
Ankrd44	1714	1641	963	1583	2202	1783	2109	1359	582	1238	807	1800	1386	1007	214	213	365	1156	1226	2779	3480	4802	4041
9130227L01Rik	0	2	0	2	2	3	3	1	3	0	1	30	17	26	2	11	2	69	64	6	18	11	6
9430016H08Rik	131	224	160	68	83	64	94	177	108	428	235	158	242	309	62	72	85	185	219	199	325	360	243
Satb2	131	178	69	31	42	27	50	90	50	102	31	10049	10968	16786	2551	2502	3898	12180	13793	1195	2676	1649	672
Aox1	203	447	232	4	9	10	11	2975	378	954	556	89	37	15	7	2	11	43	36	37	69	289	283
Spats2l	75	27	48	1046	1745	1169	1624	1259	730	901	758	1919	2240	2787	278	226	333	4181	4753	3870	5261	4242	3460
Aox3	7	3	2	7	6	10	15	9	6	10	8	170	50	289	4	4	6	16	18	37	65	335	432
Ndufb3	303	618	548	142	371	174	200	657	527	357	557	510	694	423	134	143	220	347	390	541	926	1202	811
Aox2	2	5	0	4	11	5	12	5	8	6	3	7	6	43	13	11	13	7	31	42	60	25	24
Nif3l1	192	92	80	33	65	45	71	42	58	146	22	61	109	104	35	35	46	155	182	261	419	552	354
Stradb	733	804	596	316	286	203	395	558	311	144	300	918	1112	1562	334	275	488	1279	1550	1602	2555	2676	1769
Tmem237	99	227	160	100	149	103	130	582	295	254	438	208	498	214	131	115	123	393	459	355	519	740	534
Ica1l	1211	1701	1097	88	137	89	111	39	36	83	120	1685	1990	2181	676	563	872	1529	1702	1115	1457	3703	2585
Nbeal1	4016	4890	3832	2580	3799	2734	3405	5238	5586	5738	4445	6338	7220	7516	1616	1432	2185	2342	2709	3384	4288	8645	6034
Abi2	4270	4671	4961	2093	3018	2064	2824	5064	3755	3519	4050	10135	10426	10810	4149	3497	5476	5316	6792	3372	5061	12140	7534
Raph1	2605	3098	2251	3162	4912	3366	4315	1431	917	838	1467	6825	7883	8326	2461	2187	3293	6436	7189	2932	4274	14517	9922
Nrp2	211	259	287	79	128	88	86	59	16	66	28	809	879	1028	138	167	205	993	1051	281	474	2923	2482
Ndufs1	1391	1960	1291	398	843	638	760	1144	479	866	1093	1087	1178	1228	368	339	581	848	1017	1850	2708	2310	1692
Zdbf2	108	202	54	73	138	109	151	72	250	115	283	1731	1746	1873	336	319	438	796	1199	288	580	1316	921
Mdh1b	3	3	0	4	3	9	10	0	36	26	90	68	18	35	12	12	15	62	103	57	116	56	70
Adam23	10288	14580	8755	17589	24812	19850	23582	2005	1326	1378	1661	11292	9903	12312	3244	3206	5524	8257	9687	14222	19339	21174	15018
Klf7	6893	8079	5514	297	399	336	370	5518	1955	1700	2384	5499	5219	7916	1663	1379	2206	4420	5183	2138	2873	4093	3295
Plekhm3	4245	5201	3628	1722	3145	2152	2687	1530	1397	1674	2113	4367	4260	4476	1371	1378	2373	4320	5015	6265	8571	11051	7475
Pikfyve	2022	3054	1608	1475	2064	1520	2097	2434	1948	2931	1730	3871	4158	4126	1331	1048	1512	2102	2466	2720	3843	4405	3259
Acadl	32	18	28	24	33	40	67	1807	944	574	535	108	64	108	18	6	13	44	51	206	148	1102	1090
Unc80	23319	32039	19416	12601	16150	13626	18850	7444	5387	6716	4473	25517	21979	32094	7347	6687	9880	19005	22723	18700	27820	35562	24787
Map2	18921	21806	16448	2832	4110	3575	4458	14652	8649	8706	8467	27432	29249	37107	7625	6992	10096	17136	22135	15307	21621	44802	32033
Rpe	573	838	612	344	501	393	457	1506	881	1087	1349	809	941	966	321	247	450	709	842	1212	1619	1805	1200
Ikzf2	1106	1372	771	2852	4319	3049	3643	8492	5405	6505	6053	863	934	1090	186	195	271	391	536	697	907	1169	913
Bard1	0	3	3	3	68	15	15	2	105	159	414	2	13	52	6	5	6	23	36	46	55	1511	1109
Vwc2l	7	16	9	12	18	17	28	1019	5	59	6	4994	2490	5074	719	560	716	1350	1557	1775	2840	22547	17622
Atic	174	303	157	74	151	87	99	327	119	277	122	121	330	210	75	42	105	362	434	450	668	1198	683
March4	120	51	62	1629	2598	2058	2061	9	7	34	56	2051	2088	2108	286	216	353	1853	2172	1211	1691	7700	5209
Smarcal1	1199	1707	1062	570	651	508	735	721	426	495	802	769	1051	1006	259	207	376	1551	1797	2311	3511	5324	3613
Pnkd	834	1089	917	49	92	93	85	407	307	326	856	1468	1552	2043	286	275	436	1234	1495	4259	7901	2905	1656
Tns1	124	104	95	10	15	11	14	585	572	965	705	235	309	235	80	50	71	266	261	153	201	2987	2385
6030407O03Rik	40	74	36	29	53	14	17	38	80	76	150	92	37	103	25	12	14	22	34	8	21	76	16
Nhej1	258	222	248	105	156	49	78	113	59	132	166	259	227	225	42	51	84	193	161	183	195	338	264
Des	535	680	249	0	0	0	1	1	1	0	4	0	0	0	0	1	4	4	4	13	29	10	12
Zfp142	962	2042	1178	909	1249	765	1197	1131	669	616	898	913	850	1693	275	232	412	1288	1707	1836	2627	3523	1992
Epha4	79	37	56	2071	3194	1820	2455	3929	3875	3566	3320	12897	11285	14934	3124	3486	4283	14266	15731	3280	5573	8410	5748
Mogat1	1	3	1	0	3	0	0	1	0	0	34	7	0	3	1	2	0	0	3	18	24	10	12
Pax3	13	3	37	1	6	26	2	11570	7659	10712	7772	3	1	5	3	4	2	3	0	2	1	3	3
Sgpp2	8908	10404	7909	1519	2097	1573	2066	25	62	154	51	2884	2309	3151	161	216	355	1123	1445	2781	3643	491	425
Serpine2	15	14	19	2	12	4	13	7835	7681	6168	9187	2670	3766	3894	57	56	55	922	1113	255	427	5637	3922
Nyap2	3705	4353	3056	570	1311	884	760	199	23	443	23	10784	10302	12440	2205	2503	4067	5058	4823	1350	2309	11365	8183
Col4a3	4	4	12	18	29	22	38	8	32	49	25	24	15	10	6	10	17	22	24	22	25	40	40
Rhbdd1	520	999	460	1026	1792	1488	1643	5967	3134	3349	3079	496	641	559	194	162	289	415	497	736	1171	1421	1018
Col4a4	5	12	9	39	96	58	96	17	75	39	327	36	8	17	5	5	12	24	28	34	49	171	96
Sphkap	29592	35079	22348	6388	9398	8465	9008	1425	643	1131	1016	5918	8446	9587	879	1017	1357	5830	6244	2416	4078	4409	3477
Trip12	6273	7854	5314	6326	9849	6994	9223	16575	7383	10500	9724	15712	16360	16181	4604	4017	5801	5126	6036	6580	9114	14315	9344
Dner	668	848	705	26591	41953	34130	39194	1484	684	1402	1106	5810	6167	7828	723	531	628	2925	3080	15038	16801	32973	24232
Pid1	3579	3990	2412	275	477	382	459	229	217	87	75	10654	11175	16617	961	1083	1335	5063	4577	2311	2854	11537	9073
Sp110	0	1	0	0	1	2	0	1	0	0	0	11	0	6	1	3	3	0	0	2	0	2	1
A630001G21Rik	0	0	0	1	2	0	2	0	0	0	0	353	53	60	3	0	2	4	14	1	5	14	4
Armc9	1029	1874	647	476	828	608	719	703	481	785	515	2066	2877	2813	702	592	895	3418	3795	3671	4841	5670	3921
Psmd1	1716	2225	1728	659	1103	933	1096	1879	1163	1107	807	2009	2688	2278	701	609	1001	2094	2706	2704	4183	5990	3776
Usp40	3254	4715	3240	747	1093	845	1349	3328	1025	1391	1213	1872	2175	2446	701	548	950	2197	2678	3844	4736	7807	5559
Sag	26	9	29	89	145	132	132	2	49	5	1	66	86	116	9	9	16	138	133	141	179	365	283
Gigyf2	5651	6865	4923	3219	4778	3754	4469	5977	3674	4491	3119	9345	8742	8776	2661	2121	3109	3829	4077	5031	6093	9949	6913
Inpp5d	3	1	2	3	3	2	3	0	3	3	7	541	398	485	14	15	21	115	164	31	57	101	40
Efhd1	44	3	27	141	209	171	144	925	916	535	980	3	4	23	0	2	9	15	14	20	62	59	25
Ngef	42	141	14	18	34	18	26	28	138	53	63	1679	1887	1842	904	732	1230	5492	5791	408	980	3681	2276
Ugt1a6a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
