Gene	asc_S150	asc_S158	asc_S163	asc_S389	asc_S403	asc_S412	asc_S242	asc_S517	asc_S521	asc_S881	asc_S643	asc_S660	asc_S671	asc_S751	asc_S767	asc_S686	asc_S721	oligo_S422	oligo_S466	oligo_S482	oligo_S529	oligo_S542	oligo_S558	oligo_S692	oligo_S724	opc_S144	opc_S400	opc_S402	opc_S425	opc_S428	opc_S214	opc_S246
Dock10	0	0	0	1	0	2	0	37	0	1	0	514	0	0	0	0	0	177	487	368	98	59	111	0	828	94	142	0	188	1	74	62
Dis3l2	2	156	101	74	9	5	0	0	3	8	64	66	20	2	1	41	72	82	149	91	10	0	12	138	32	0	1	10	120	23	16	0
Sh3bp4	0	0	0	0	0	0	15	0	7	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	7	63	29	329	61	6	0
Ugt1a9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ugt1a10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc16a14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	10	0
Pask	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Serpinb12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdh20	329	72	289	272	202	229	85	574	10	16	25	422	375	168	26	200	175	285	75	73	70	25	0	72	100	0	2	23	2906	12	36	126
Cntnap5a	2	0	3	0	7	7	0	0	1	32	3	11	3	37	15	0	62	62	6	21	0	0	0	1	0	0	92	0	1	2	0	0
Cdh7	0	40	0	0	18	1	0	0	0	1	0	0	0	0	0	110	0	0	9	3	0	0	3	0	0	0	0	0	0	1	0	0
Clasp1	16	48	115	173	55	132	10	13	43	13	72	37	98	55	1	14	46	28	99	11	17	1	4	0	7	0	118	0	80	262	40	1
Dpp10	0	3	1	142	1	0	0	1	28	0	1	16	0	0	20	1	0	3	55	16	0	0	1	0	2	30	31	64	183	282	94	15
Rab3gap1	68	10	0	44	8	0	17	1	16	1	25	45	49	0	0	0	0	32	47	58	1	0	0	0	88	36	69	11	35	92	0	1
Cdk18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	66	0	14	13	0	0	0	0	0	0	0	0	0
Mapkapk2	0	109	78	0	11	47	0	0	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	63	0	0	29	5	0
Thsd7b	0	58	0	1	0	0	4	1	1	1	0	1	0	0	3	0	2	3	11	0	0	0	0	0	0	0	340	48	1	47	32	87
Kcnt2	1	0	0	47	0	0	1	0	0	0	33	0	0	1	0	0	0	1	2	0	1	0	5	0	44	20	100	41	15	28	4	0
Aspm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
Rnpep	0	82	0	0	39	83	0	10	0	1	5	33	0	0	0	4	6	1	19	0	3	0	0	0	0	0	0	9	82	13	0	0
Camsap2	0	0	11	0	0	0	0	51	0	0	12	24	109	3	54	0	0	38	58	115	0	40	3	0	0	26	195	9	217	0	17	19
Brinp3	48	5	36	87	2	1	1	2	4	1	20	36	0	1	24	20	0	19	35	0	0	0	4	11	1	400	647	69	290	412	198	69
Pla2g4a	0	0	1	0	0	0	2	0	0	9	0	0	0	0	0	0	0	39	9	0	0	1	6	0	0	0	1	0	7	0	0	0
Cdc73	45	0	0	1	0	0	2	126	1	0	13	15	34	20	2	2	0	0	31	42	1	0	0	0	0	77	6	2	0	0	0	2
Rasal2	0	1	40	1	1	0	10	80	11	1	42	151	141	105	0	1	43	12	45	5	31	1	0	20	2	66	3	0	33	144	22	1
1700025G04Rik	0	0	0	0	25	31	9	0	11	6	1	21	0	0	0	0	0	26	79	7	6	0	0	0	0	14	106	53	49	44	47	21
Stx6	80	71	0	1	0	0	0	0	47	0	0	78	66	0	4	0	0	39	34	76	17	6	10	4	0	0	89	8	11	42	2	4
Nmnat2	75	0	0	0	0	0	0	0	3	1	1	15	0	0	0	0	0	0	39	0	5	21	0	0	0	111	69	21	74	172	72	128
Brinp2	0	0	0	0	30	0	7	0	0	0	0	0	0	0	0	0	0	0	1	80	0	10	0	0	0	67	0	6	109	70	16	0
Rcsd1	142	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	14	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Rabgap1l	106	20	58	3	112	81	11	92	21	2	31	160	128	6	11	6	88	80	121	159	16	7	9	71	0	206	75	12	348	109	83	14
Fcrla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0
Rgs7	1	30	0	0	522	35	17	86	11	22	95	1	0	6	27	148	63	27	24	40	0	0	1	0	23	60	95	26	3	50	13	143
Cnih3	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	1	65	0	0	2	0	0	4	0	5	0	0	0	0	0
Itpkb	18	50	127	0	8	79	26	75	0	0	1	0	0	0	0	0	0	16	19	0	0	0	0	0	0	0	0	0	1	57	6	0
Trp53bp2	63	34	0	0	48	0	10	29	3	0	80	94	5	17	5	133	51	0	18	56	7	0	6	0	0	0	0	0	0	0	0	0
Akt3	8	47	6	92	20	53	10	35	44	14	43	290	63	85	0	1	113	6	174	66	1	0	0	0	2	52	315	19	20	71	48	39
Smyd3	256	11	9	33	0	89	3	1	12	1	37	8	5	2	22	10	1	50	78	0	8	2	0	1	0	35	264	12	183	284	90	30
Ush2a	1	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	5	1	0	0	0	0	20	0	1	0	2	0	4	0
Mir297c	0	0	0	0	0	0	0	1	0	0	0	12	0	29	0	0	0	0	0	48	26	0	1	0	10	0	29	17	0	1	0	10
Ptpn14	33	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	70	56	4	111	44	0	0
Tgfb2	0	0	5	1	60	16	9	4	21	1	0	24	76	0	0	0	0	0	7	26	0	0	3	0	0	0	0	4	0	0	3	0
Rps6kc1	48	14	4	148	0	15	0	158	0	6	0	3	70	0	0	0	70	0	78	0	0	0	0	81	18	13	0	0	29	15	0	0
Esrrg	0	0	0	1	0	0	0	33	0	0	0	34	0	0	0	21	0	35	0	0	0	0	0	0	0	1	76	0	0	94	8	16
A330023F24Rik	153	5	0	0	71	0	0	0	0	17	125	36	4	2	0	0	52	0	0	40	0	0	0	0	65	0	8	0	16	0	1	0
Xkr4	1	7	44	2	0	1	0	0	0	2	0	27	0	0	92	0	1	30	53	21	9	4	8	16	82	135	82	3	177	164	44	65
Rgs20	285	344	297	419	354	313	59	169	200	33	473	507	621	72	0	167	290	1	1	0	0	0	0	0	0	2	0	0	0	4	5	0
Rp1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Atp6v1h	0	1	0	1	61	0	0	23	13	8	3	42	133	0	0	0	13	26	85	29	2	6	0	0	38	20	43	0	137	4	0	1
St18	0	17	14	3	1	0	0	13	0	10	25	85	0	1	2	0	0	371	630	174	112	118	97	7	455	0	44	0	604	1	1	2
2610203C22Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	3	0	0	0	2	7	0
Mybl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0
Cspp1	17	16	61	79	0	77	15	13	64	1	26	64	41	1	39	97	22	0	0	34	7	30	0	0	26	0	0	0	39	0	0	22
Sgk3	4	30	6	6	6	10	27	12	10	2	8	66	14	33	19	10	41	107	10	42	8	22	3	197	36	8	10	4	59	11	7	5
Tcf24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Arfgef1	13	10	0	8	192	41	3	2	29	6	4	20	111	0	48	7	0	0	5	13	27	17	0	0	50	0	77	1	115	0	3	0
Adhfe1	0	0	0	14	61	0	0	46	38	9	46	48	30	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prex2	641	382	367	2360	682	695	64	133	147	64	430	979	533	372	52	371	462	31	2	0	0	0	1	0	0	11	5	16	2	0	0	20
Mir467e	0	0	0	89	0	0	0	0	0	0	0	0	0	2	0	4	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Slco5a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	1	0	0	12	0
Ncoa2	25	19	463	10	149	118	13	9	0	0	43	96	108	23	42	94	0	44	90	47	19	10	0	24	258	263	0	34	142	125	84	0
Sulf1	174	0	0	0	1	0	0	0	1	0	21	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	7	0
Eya1	130	20	0	0	109	90	28	12	41	7	21	32	155	69	2	171	58	0	1	0	0	0	0	0	0	69	96	17	0	141	0	16
Kcnb2	0	1	0	0	41	0	0	1	0	24	0	0	0	0	0	0	0	0	28	22	0	0	0	0	0	370	5	5	1	43	12	0
Tceb1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	11	0	0	0	68	72	0	0
Stau2	0	9	0	0	0	35	0	92	0	0	23	83	77	0	0	0	51	2	14	26	17	10	1	0	0	31	0	0	14	73	26	41
Sbspon	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rdh10	5	0	0	0	44	0	0	0	0	0	0	0	78	0	0	0	0	2	39	0	0	0	2	0	0	0	0	0	145	0	0	0
Jph1	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	41	0	46	1	0	0	0	0	12	0	0	0	0	0	1
Gm16070	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0
Pkhd1	0	1	9	3	3	1	0	0	29	0	0	1	0	1	0	0	75	63	20	0	10	0	0	0	1	0	1	0	0	82	0	11
Kcnq5	0	130	0	48	0	0	10	0	2	0	23	1	0	0	1	0	0	11	19	100	7	0	1	0	3	4	1	0	38	2	12	14
Rims1	0	0	0	0	1	16	0	0	0	3	0	0	0	0	8	1	0	81	8	40	1	0	1	22	64	142	229	39	42	134	52	33
Smap1	35	0	0	0	0	68	0	54	0	24	8	55	0	0	8	45	15	10	14	18	5	0	8	38	65	9	0	0	19	54	0	14
Col9a1	0	28	0	186	0	29	0	0	0	0	0	0	1	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	8	0	0	0
Col19a1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	11	0	3	0	0	0	0	0	0	0	59	0	0	0	0	1
Lgsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4931428L18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	19	0	0	0	1	0
Dst	235	98	212	84	47	307	19	37	13	72	89	324	258	282	61	125	1	82	213	181	34	23	38	32	142	104	202	42	1084	199	72	28
Ptpn18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekhb2	2	0	0	0	0	1	9	19	0	0	0	0	0	0	40	0	0	0	22	57	2	0	0	40	0	0	115	0	0	10	0	0
Lman2l	0	0	0	2	0	55	0	0	1	0	1	0	0	0	1	0	0	0	5	45	0	18	0	0	0	0	0	0	27	0	0	0
Fam178b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0
Uggt1	69	0	146	59	0	0	10	0	0	0	1	6	0	0	14	10	0	31	32	0	1	0	1	0	3	0	20	1	21	0	1	0
Inpp4a	74	0	96	16	73	100	5	30	16	5	41	23	0	10	6	0	0	0	72	121	6	2	0	61	47	0	19	5	241	54	11	10
4930594C11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnga3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Mgat4a	0	1	0	0	0	0	0	0	13	1	1	0	0	1	0	0	0	0	1	50	0	0	0	0	0	0	46	0	3	24	0	38
Tmem131	1	0	71	20	0	38	3	0	23	7	4	0	70	0	45	1	38	0	15	23	4	0	0	1	0	0	0	0	24	22	0	50
2010300C02Rik	0	0	122	0	0	0	0	0	4	42	0	0	0	53	31	0	0	0	3	60	0	0	0	0	0	1	0	0	0	1	0	21
Mitd1	0	0	0	0	0	0	0	0	8	15	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
Eif5b	0	0	70	6	37	62	0	7	6	10	0	101	42	1	1	0	0	0	20	2	1	13	0	0	0	0	0	0	8	25	12	4
Aff3	147	7	0	0	0	8	0	0	44	1	0	0	0	41	0	0	0	3	0	8	5	0	0	0	8	0	253	10	0	137	1	0
Rfx8	0	0	6	0	24	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0
Npas2	6	2	123	0	165	52	15	1	3	20	66	306	48	4	10	130	79	0	8	0	1	0	0	0	0	0	2	0	0	0	0	0
Tbc1d8	28	0	44	0	3	0	0	22	0	0	0	0	0	1	0	0	16	0	32	0	0	0	0	0	0	36	0	0	24	0	0	0
Map4k4	45	5	38	0	85	92	5	8	24	17	6	122	175	14	0	2	17	17	68	207	14	1	19	9	60	8	106	31	333	250	23	9
Il1r1	0	0	0	0	0	43	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Slc9a2	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	31	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Il1r2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0
Mrps9	23	0	0	0	118	0	1	105	0	0	5	65	50	47	0	0	58	2	27	1	0	5	0	12	0	0	28	0	33	3	0	0
Nck2	0	0	85	0	0	6	9	36	1	0	5	0	0	0	0	0	0	16	47	0	1	0	0	0	17	0	31	0	0	2	0	0
Uxs1	5	29	2	1	0	13	8	2	0	12	17	2	2	11	11	0	2	0	14	0	0	0	5	0	9	0	0	9	0	0	20	21
Gulp1	32	0	2	58	0	0	21	26	2	1	63	6	86	91	0	0	0	7	14	1	0	0	0	0	0	0	0	0	1	0	0	0
Ercc5	16	0	10	0	63	0	0	0	0	0	20	13	0	33	0	0	0	0	22	2	0	0	0	59	0	0	28	15	0	108	0	0
Col5a2	32	0	0	0	0	0	0	1	0	37	0	0	13	0	0	3	0	1	1	0	0	0	0	0	0	0	82	0	0	1	0	0
Dnah7c	12	2	0	5	0	15	1	3	1	0	0	0	0	1	0	0	7	1	16	0	0	0	0	0	26	2	1	0	0	66	4	2
Tmeff2	0	5	0	0	1	0	0	0	0	15	0	1141	0	0	0	0	0	99	738	436	90	98	168	206	661	16	7	45	722	38	15	14
9330175M20Rik	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	19	0	3	0	1	0	0	0	0	16	0	0	0	0	0	0
Stat4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myo1b	0	0	1	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	1
Gls	0	0	0	0	9	17	1	13	92	1	1	15	0	1	4	0	0	0	34	48	1	16	2	18	60	25	18	10	81	0	21	33
Mfsd6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	30	76	13	4	7	0	0	14	65	0	58	21	37	0
Asnsd1	0	0	0	0	0	56	0	25	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0
Pms1	0	1	0	0	22	0	0	17	71	0	20	17	0	1	14	0	47	61	9	0	0	0	0	0	151	56	1	0	1	8	0	0
Hecw2	0	0	1	0	0	0	0	0	1	1	0	153	0	0	5	0	0	124	84	195	78	27	7	1	500	89	61	13	38	17	14	50
Ccdc150	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Rftn2	221	0	0	110	42	198	23	71	19	4	44	13	28	9	0	13	16	1	18	0	11	0	0	1	0	0	100	2	40	91	0	7
Boll	1	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3
Ankrd44	13	0	0	21	1	0	0	1	21	0	0	43	1	0	9	0	2	35	3	13	4	0	9	0	0	0	48	12	455	5	76	0
9130227L01Rik	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
9430016H08Rik	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	10	0	51	2	0	26	10	15	0	0	0
Satb2	0	0	1	20	24	0	0	1	0	0	0	0	0	0	6	41	0	0	0	0	0	0	0	0	1	0	22	0	0	0	0	1
Aox1	20	0	32	90	89	1	2	0	27	5	27	76	0	1	3	27	108	0	18	0	1	0	0	187	0	0	0	0	0	0	21	0
Spats2l	11	6	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	13	0	0	23	20	0	52
Aox3	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	25	6	0	0	0	1	3	0	0	6	0	1	0	0	0
Ndufb3	0	0	0	15	3	3	0	8	0	0	10	9	0	0	0	1	0	0	6	4	0	0	0	0	0	0	0	1	5	0	0	0
Aox2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	7	21	0	0	0	0	0	0	0	0	0	0	0	0	0
Nif3l1	0	0	0	0	2	0	0	0	30	0	0	0	0	0	0	0	0	0	0	11	0	4	0	0	0	4	0	0	0	0	0	0
Stradb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	2	36	0	5	0	0	0	0	0	0	7	85	0	0	0
Tmem237	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	22	0	15	0	0	0	4	0	47	0	0	1	0	0	0	0
Ica1l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Nbeal1	93	0	52	0	17	1	0	0	0	0	79	77	18	83	42	0	63	0	131	0	30	0	3	14	25	111	0	9	62	0	0	34
Abi2	68	0	21	0	44	0	8	40	1	0	1	0	1	0	1	5	0	27	75	104	0	2	1	0	0	74	31	7	20	12	0	6
Raph1	71	1	0	1	0	0	0	26	0	9	0	7	0	0	1	116	6	5	7	0	0	0	0	0	0	8	0	1	0	44	0	57
Nrp2	173	0	0	0	10	170	11	3	37	21	0	1	0	37	0	4	19	24	0	0	2	0	0	0	0	1	109	2	0	51	4	6
Ndufs1	0	3	0	0	26	0	0	20	0	0	2	10	38	36	0	0	49	47	0	0	1	10	0	0	9	1	11	0	52	0	3	0
Zdbf2	0	0	0	0	0	0	16	0	2	0	2	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mdh1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Adam23	4	6	0	96	37	1	6	24	1	38	51	0	43	198	18	24	6	35	19	0	9	1	0	0	0	52	109	13	498	53	0	5
Klf7	10	0	99	0	163	123	2	13	45	12	17	58	0	5	0	0	13	14	3	114	4	1	8	0	16	6	39	0	245	2	8	0
Plekhm3	77	0	0	0	154	1	1	0	23	21	4	188	0	60	2	0	1	3	14	0	0	4	0	0	0	0	8	1	18	16	0	65
Pikfyve	0	115	0	0	0	0	1	0	16	4	6	1	0	53	3	0	0	0	98	0	0	0	1	0	0	0	55	22	44	4	50	0
Acadl	0	0	70	66	0	75	0	4	0	0	0	0	0	29	19	33	18	0	37	18	9	0	0	0	0	0	0	3	0	0	1	5
Unc80	0	0	0	5	81	0	0	0	24	28	0	1	2	0	0	1	0	0	43	48	0	4	2	0	0	16	36	0	4	89	22	1
Map2	4	0	2	300	28	83	29	152	48	38	37	186	179	227	73	166	1	81	116	19	20	1	8	1	56	33	244	14	1003	32	31	54
Rpe	11	0	0	7	0	0	0	0	7	0	4	0	5	0	2	128	0	0	32	48	0	1	0	0	0	0	0	0	0	8	0	7
Ikzf2	84	40	0	2	71	68	0	28	28	6	0	82	26	60	17	145	0	8	7	25	9	4	39	0	0	3	120	0	27	104	93	41
Bard1	0	13	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0
Vwc2l	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atic	0	0	0	0	0	0	5	0	6	0	0	1	0	2	17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
March4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	21	0	0	0	1	0	0	0	0	5	0	0	0	1	2
Smarcal1	0	4	6	0	0	0	1	0	4	0	0	40	79	0	0	0	0	0	18	0	0	0	12	0	0	0	3	0	0	0	0	0
Pnkd	2	0	0	0	31	1	0	3	0	5	5	18	0	23	37	0	13	9	62	24	9	0	0	0	0	144	34	0	0	31	3	22
Tns1	178	0	53	8	0	8	7	5	22	0	3	0	99	13	0	0	0	4	39	0	2	0	0	0	28	0	0	0	1	0	0	0
6030407O03Rik	0	1	5	0	2	0	0	0	1	8	0	0	0	0	0	0	24	96	0	0	0	1	0	0	1	123	241	14	49	215	74	55
Nhej1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Des	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
