Species	Cell_type	Category	Location	Gene	Score
human	Granule	HK	Gene_body	DIP2C	0.027744510978043917
human	Granule	HK	Gene_body	DIP2C	0.1632522407170294
human	Granule	HK	Gene_body	DIP2C	0
human	Granule	HK	Gene_body	DIP2C	0.01934865900383142
human	Granule	HK	Gene_body	DIP2C	0.010179640718562874
human	Granule	HK	Gene_body	DIP2C	0.007649253731343283
human	Granule	HK	Gene_body	DIP2C	0.11576846307385229
human	Granule	HK	Gene_body	DIP2C	0.01818181818181818
human	Granule	HK	Gene_body	DIP2C	5.988023952095809e-4
human	Granule	HK	Gene_body	DIP2C	0.00704
human	Granule	HK	Gene_body	DIP2C	0.2219560878243513
human	Granule	HK	Gene_body	DIP2C	0.20225080385852093
human	Granule	HK	Gene_body	PITRM1	5.988023952095809e-4
human	Granule	HK	Gene_body	PITRM1	0.03330058939096268
human	Granule	HK	Gene_body	NUDT5	0.21878048780487802
human	Granule	HK	Gene_body	WAC	0.059727626459143965
human	Granule	HK	Gene_body	WAC	0.011423220973782773
human	Granule	HK	Gene_body	CCNY	0.0208955223880597
human	Granule	HK	Gene_body	CCNY	0.01377952755905512
human	Granule	HK	Gene_body	CCNY	0.01673151750972763
human	Granule	HK	Gene_body	CCNY	9.541984732824427e-4
human	Granule	HK	Gene_body	CCNY	0.0027833001988071568
human	Granule	HK	Gene_body	CCNY	0.23890339425587467
human	Granule	HK	Gene_body	HNRNPH3	0.6135728542914172
human	Granule	HK	Gene_body	SPOCK2	0.3999999999999999
human	Granule	HK	Gene_body	SPOCK2	0.01996007984031936
human	Granule	HK	Gene_body	SPOCK2	0.42620904836193446
human	Granule	HK	Gene_body	USP54	0.0249500998003992
human	Granule	HK	Gene_body	AP3M1	0.2914663461538462
human	Granule	HK	Gene_body	WAPL	0.44780701754385993
human	Granule	HK	Gene_body	TBC1D12	0.2738522954091816
human	Granule	HK	Gene_body	TBC1D12	0.03253493013972055
human	Granule	HK	Gene_body	TBC1D12	0.3686626746506986
human	Granule	HK	Gene_body	BTRC	0.6655367231638417
human	Granule	HK	Gene_body	MGEA5	0.21406593406593405
human	Granule	HK	Gene_body	CNNM2	3.6496350364963507e-4
human	Granule	HK	Gene_body	CNNM2	0.015944881889763778
human	Granule	HK	Gene_body	CNNM2	0.7435897435897437
human	Granule	HK	Gene_body	CNNM2	0.0031716417910447763
human	Granule	HK	Gene_body	ADD3	0.6564356435643565
human	Granule	HK	Gene_body	ADD3	0.4479220779220777
human	Granule	HK	Gene_body	MXI1	0.6114200595829192
human	Granule	HK	Gene_body	MXI1	0.5144531250000002
human	Granule	HK	Gene_body	MXI1	0.22946257197696743
human	Granule	HK	Gene_body	MXI1	0.3240942028985508
human	Granule	HK	Gene_body	MXI1	0.18345935727788276
human	Granule	HK	Gene_body	MXI1	0.3371373307543521
human	Granule	HK	Gene_body	MXI1	0.2556420233463034
human	Granule	HK	Gene_body	RAB11FIP2	0.009233791748526524
human	Granule	HK	Gene_body	RAB11FIP2	0.5949709864603481
human	Granule	HK	Gene_body	RAB11FIP2	0.15472703062583223
human	Granule	HK	Gene_body	EIF3A	0.41094224924012157
human	Granule	HK	Gene_body	PPP2R2D	0.014828897338403044
human	Granule	HK	Gene_body	PPP2R2D	0.0044660194174757275
human	Granule	HK	Gene_body	PPP2R2D	0.016167664670658687
human	Granule	HK	Gene_body	PPP2R2D	0.00499001996007984
human	Granule	HK	Gene_body	PPP2R2D	0.0033932135728542917
human	Granule	HK	Gene_body	PPP2R2D	9.98003992015968e-4
human	Granule	HK	Gene_body	DENND5A	0.30695825049701786
human	Granule	HK	Gene_body	DENND5A	0.31717791411042945
human	Granule	HK	Gene_body	RNF141	0.09385699899295068
human	Granule	HK	Gene_body	MADD	0.27684630738522953
human	Granule	HK	Gene_body	MADD	0.33069306930693054
human	Granule	HK	Gene_body	MADD	0.015968063872255488
human	Granule	HK	Gene_body	MADD	0.1405357142857143
human	Granule	HK	Gene_body	FNBP4	0.467265469061876
human	Granule	HK	Gene_body	FNBP4	0.34415243101182674
human	Granule	HK	Gene_body	CPSF7	0.3135702746365105
human	Granule	HK	Gene_body	FTH1	0.2697855750487329
human	Granule	HK	Gene_body	NRXN2	0.42814960629921245
human	Granule	HK	Gene_body	NRXN2	0.14710578842315367
human	Granule	HK	Gene_body	NRXN2	0.35466179159049344
human	Granule	HK	Gene_body	LTBP3	0.3436720142602495
human	Granule	HK	Gene_body	CTTN	0.0031307550644567223
human	Granule	HK	Gene_body	NUMA1	0.11795366795366795
human	Granule	HK	Gene_body	NUMA1	0.07361623616236163
human	Granule	HK	Gene_body	NUMA1	0.2750439367311071
human	Granule	HK	Gene_body	NUMA1	0.7152941176470586
human	Granule	HK	Gene_body	NUMA1	0.2446753246753246
human	Granule	HK	Gene_body	RAB30	0.016566866267465067
human	Granule	HK	Gene_body	RAB30	0.06745562130177517
human	Granule	HK	Gene_body	RAB30	0.04650698602794411
human	Granule	HK	Gene_body	RAB30	0.1162698412698413
human	Granule	HK	Gene_body	RAB30	0.6510721247563351
human	Granule	HK	Gene_body	GRIA4	0.4524809160305344
human	Granule	HK	Gene_body	GRIA4	0.018631178707224333
human	Granule	HK	Gene_body	GRIA4	0.08720930232558141
human	Granule	HK	Gene_body	GRIA4	0.1331337325349301
human	Granule	HK	Gene_body	GRIA4	0.010379241516966068
human	Granule	HK	Gene_body	GRIA4	0.6078335373317014
human	Granule	HK	Gene_body	GRIA4	0.005642023346303503
human	Granule	HK	Gene_body	GRIA4	0.335928143712575
human	Granule	HK	Gene_body	GRIA4	0.08443223443223444
human	Granule	HK	Gene_body	GRIA4	0.4715139442231075
human	Granule	HK	Gene_body	GRIA4	0.1816247582205029
human	Granule	HK	Gene_body	GRIA4	0.05768463073852296
human	Granule	HK	Gene_body	GRIA4	0.02295409181636726
human	Granule	HK	Gene_body	GRIA4	0.3980039920159679
human	Granule	HK	Gene_body	GRIA4	0.10211946050096338
human	Granule	HK	Gene_body	GRIA4	0.02625400213447172
human	Granule	HK	Gene_body	GRIA4	0.022395833333333334
human	Granule	HK	Gene_body	GRIA4	0.14330855018587357
human	Granule	HK	Gene_body	SIK2	0.6158203125000002
human	Granule	HK	Gene_body	SIK2	0.6610778443113772
human	Granule	HK	Gene_body	BACE1	0.2847507331378299
human	Granule	HK	Gene_body	SNX19	0.02911208151382824
human	Granule	HK	Gene_body	KDM5A	0.048914858096828044
human	Granule	HK	Gene_body	KDM5A	0.7695906432748539
human	Granule	HK	Gene_body	KDM5A	0.0993322203672788
human	Granule	HK	Gene_body	RAD52	0.09384010484927917
human	Granule	HK	Gene_body	IFFO1	0.003592814371257485
human	Granule	HK	Gene_body	IFFO1	0.15928853754940708
human	Granule	HK	Gene_body	IFFO1	0.40681818181818186
human	Granule	HK	Gene_body	C2CD5	0.024603174603174603
human	Granule	HK	Gene_body	C2CD5	0.9409181636726548
human	Granule	HK	Gene_body	C2CD5	0.20778078484438428
human	Granule	HK	Gene_body	TM7SF3	0.06686626746506988
human	Granule	HK	Gene_body	TM7SF3	0.07535460992907801
human	Granule	HK	Gene_body	ARID2	0.06477683956574187
human	Granule	HK	Gene_body	ARID2	0.11698774080560423
human	Granule	HK	Gene_body	ZNF641	0.07405696689761357
human	Granule	HK	Gene_body	KMT2D	0.5403254972875227
human	Granule	HK	Gene_body	PRPF40B	0.18356643356643354
human	Granule	HK	Gene_body	PRPF40B	0.45768463073852306
human	Granule	HK	Gene_body	DIP2B	0.10199600798403195
human	Granule	HK	Gene_body	DIP2B	0.001596806387225549
human	Granule	HK	Gene_body	DIP2B	0.005160142348754449
human	Granule	HK	Gene_body	DIP2B	0.057751277683134594
human	Granule	HK	Gene_body	DIP2B	0.025594149908592326
human	Granule	HK	Gene_body	DIP2B	0.29342359767891685
human	Granule	HK	Gene_body	DIP2B	0.300790513833992
human	Granule	HK	Gene_body	DIP2B	0.4592105263157896
human	Granule	HK	Gene_body	DIP2B	0.20173501577287067
human	Granule	HK	Gene_body	DIP2B	0.12106060606060606
human	Granule	HK	Gene_body	DIP2B	0.17533512064343149
human	Granule	HK	Gene_body	DIP2B	0.07485029940119758
human	Granule	HK	Gene_body	POU6F1	0.21753371868978807
human	Granule	HK	Gene_body	CBX5	0.5830152671755731
human	Granule	HK	Gene_body	CBX5	0.3922465208747516
human	Granule	HK	Gene_body	CS	0.3808558558558558
human	Granule	HK	Gene_body	BAZ2A	0.6795620437956204
human	Granule	HK	Gene_body	BAZ2A	0.3824701195219124
human	Granule	HK	Gene_body	BAZ2A	0.46820512820512816
human	Granule	HK	Gene_body	BAZ2A	0.5510222222222222
human	Granule	HK	Gene_body	DCTN2	0.5090211132437623
human	Granule	HK	Gene_body	CTDSP2	0.034722222222222224
human	Granule	HK	Gene_body	CTDSP2	0.31668839634941315
human	Granule	HK	Gene_body	CTDSP2	0.22153846153846157
human	Granule	HK	Gene_body	CTDSP2	0.04351297405189621
human	Granule	HK	Gene_body	CTDSP2	0.6175873731679822
human	Granule	HK	Gene_body	PPP1R12A	0.01117764471057884
human	Granule	HK	Gene_body	PPP1R12A	0.39341317365269446
human	Granule	HK	Gene_body	PPP1R12A	0.029740518962075843
human	Granule	HK	Gene_body	PPP1R12A	0.022355289421157686
human	Granule	HK	Gene_body	PPP1R12A	0.6651734104046243
human	Granule	HK	Gene_body	UBE2N	0.08343313373253493
human	Granule	HK	Gene_body	UBE2N	0.32784471218206157
human	Granule	HK	Gene_body	VEZT	0.16237623762376233
human	Granule	HK	Gene_body	VEZT	0.02974051896207584
human	Granule	HK	Gene_body	VEZT	0.22934131736526947
human	Granule	HK	Gene_body	CDK17	0.2799610894941635
human	Granule	HK	Gene_body	CDK17	0.32706935123042497
human	Granule	HK	Gene_body	APPL2	0.2901574803149606
human	Granule	HK	Gene_body	APPL2	0.13109656301145664
human	Granule	HK	Gene_body	APPL2	1.9920318725099602e-4
human	Granule	HK	Gene_body	APPL2	0.15923190546528806
human	Granule	HK	Gene_body	APPL2	0.14985795454545456
human	Granule	HK	Gene_body	ATXN2	0.2491089108910891
human	Granule	HK	Gene_body	BRAP	0.015682656826568265
human	Granule	HK	Gene_body	BRAP	0.2701001430615164
human	Granule	HK	Gene_body	ERP29	0.033586337760910814
human	Granule	HK	Gene_body	ANAPC5	0.27167182662538697
human	Granule	HK	Gene_body	CLIP1	0.08602794411177644
human	Granule	HK	Gene_body	CLIP1	0.1221556886227545
human	Granule	HK	Gene_body	CLIP1	0.419560878243513
human	Granule	HK	Gene_body	CLIP1	0.048349834983498347
human	Granule	HK	Gene_body	PSPC1	0.22327416173570025
human	Granule	HK	Gene_body	SUPT20H	0.04491525423728815
human	Granule	HK	Gene_body	MYCBP2	0.5293413173652696
human	Granule	HK	Gene_body	MYCBP2	0.015169660678642713
human	Granule	HK	Gene_body	MYCBP2	0.15688622754491016
human	Granule	HK	Gene_body	RBM26	0.2970221606648198
human	Granule	HK	Gene_body	MBNL2	0.1223552894211577
human	Granule	HK	Gene_body	MBNL2	0.15109780439121756
human	Granule	HK	Gene_body	MBNL2	0.13512974051896212
human	Granule	HK	Gene_body	MBNL2	0.26866267465069865
human	Granule	HK	Gene_body	MBNL2	7.920792079207921e-4
human	Granule	HK	Gene_body	MBNL2	0.1171322160148976
human	Granule	HK	Gene_body	MBNL2	0.008333333333333333
human	Granule	HK	Gene_body	MBNL2	0.015310077519379846
human	Granule	HK	Gene_body	MBNL2	0.2477317554240632
human	Granule	HK	Gene_body	MBNL2	0.1327380952380953
human	Granule	HK	Gene_body	MBNL2	0.042105263157894736
human	Granule	HK	Gene_body	MBNL2	0.024253731343283586
human	Granule	HK	Gene_body	ERCC5	0.022512437810945276
human	Granule	HK	Gene_body	ERCC5	0.007514450867052023
human	Granule	HK	Gene_body	ERCC5	0.02094017094017094
human	Granule	HK	Gene_body	ARHGEF40	0.9873370577281193
human	Granule	HK	Gene_body	HNRNPC	0.31394335511982574
human	Granule	HK	Gene_body	RAB2B	0.3751117734724293
human	Granule	HK	Gene_body	SLC22A17	0.5551679586563307
human	Granule	HK	Gene_body	ZFHX2	0.11106796116504855
human	Granule	HK	Gene_body	ZFHX2	0.4994011976047905
human	Granule	HK	Gene_body	ZFHX2	0.07306201550387599
human	Granule	HK	Gene_body	ZFHX2	0.36824561403508765
human	Granule	HK	Gene_body	ZFHX2	0.6849609375000001
human	Granule	HK	Gene_body	PPP2R3C	0.12320717131474102
human	Granule	HK	Gene_body	RALGAPA1	0.9978043912175648
human	Granule	HK	Gene_body	RALGAPA1	0.3364173228346457
human	Granule	HK	Gene_body	GPR137C	0.4663498098859315
human	Granule	HK	Gene_body	GPR137C	0.3794808405438815
human	Granule	HK	Gene_body	FERMT2	0.2796407185628742
human	Granule	HK	Gene_body	FERMT2	0.4143872113676732
human	Granule	HK	Gene_body	FERMT2	0.19841463414634147
human	Granule	HK	Gene_body	ARID4A	0.2558882235528942
human	Granule	HK	Gene_body	ARID4A	0.7687739463601533
human	Granule	HK	Gene_body	ARID4A	0.07684630738522953
human	Granule	HK	Gene_body	MTHFD1	0.4388349514563108
human	Granule	HK	Gene_body	DCAF5	0.2571157495256166
human	Granule	HK	Gene_body	DCAF5	0.26606786427145696
human	Granule	HK	Gene_body	DCAF5	0.1397205588822355
human	Granule	HK	Gene_body	DCAF5	0.6337254901960784
human	Granule	HK	Gene_body	NEK9	0.3882242990654205
human	Granule	HK	Gene_body	POMT2	0.46103646833013434
human	Granule	HK	Gene_body	POMT2	0.015032679738562087
human	Granule	HK	Gene_body	POMT2	0.03572854291417166
human	Granule	HK	Gene_body	POMT2	0.29481037924151693
human	Granule	HK	Gene_body	POMT2	0.08850210970464138
human	Granule	HK	Gene_body	BTBD7	0.3073754789272031
human	Granule	HK	Gene_body	UBE3A	0.05932203389830507
human	Granule	HK	Gene_body	HERC2	0.20019342359767894
human	Granule	HK	Gene_body	HERC2	0.04351297405189622
human	Granule	HK	Gene_body	HERC2	0.061341853035143765
human	Granule	HK	Gene_body	TMEM87A	0.2370410367170625
human	Granule	HK	Gene_body	TP53BP1	0.11585127201565558
human	Granule	HK	Gene_body	TP53BP1	0.6103448275862068
human	Granule	HK	Gene_body	SECISBP2L	0.27766423357664227
human	Granule	HK	Gene_body	USP8	0.05728542914171658
human	Granule	HK	Gene_body	DMXL2	0.04570858283433134
human	Granule	HK	Gene_body	DMXL2	0.34696755994358225
human	Granule	HK	Gene_body	TMOD2	0.14176470588235293
human	Granule	HK	Gene_body	TMOD2	0.056487025948103786
human	Granule	HK	Gene_body	TMOD2	0.15709023941068134
human	Granule	HK	Gene_body	TMOD2	0.02131410256410256
human	Granule	HK	Gene_body	RFX7	0.7307414104882463
human	Granule	HK	Gene_body	ADAM10	0.04451097804391217
human	Granule	HK	Gene_body	ADAM10	0.4410579345088161
human	Granule	HK	Gene_body	DENND4A	0.4036308623298033
human	Granule	HK	Gene_body	PIAS1	0.7799999999999998
human	Granule	HK	Gene_body	PKM	0.21018181818181822
human	Granule	HK	Gene_body	PKM	0.13075539568345323
human	Granule	HK	Gene_body	PKM	0.08303393213572853
human	Granule	HK	Gene_body	PKM	0.20055147058823536
human	Granule	HK	Gene_body	TSPAN3	0.1766025641025642
human	Granule	HK	Gene_body	AP3S2	0.19254545454545455
human	Granule	HK	Gene_body	CRTC3	0.2561889250814332
human	Granule	HK	Gene_body	CRTC3	0.00506108202443281
human	Granule	HK	Gene_body	CHD2	0.38173913043478247
human	Granule	HK	Gene_body	CHD2	0.10198807157057653
human	Granule	HK	Gene_body	CHD2	0.02874251497005988
human	Granule	HK	Gene_body	MEF2A	0.05688622754491018
human	Granule	HK	Gene_body	LUC7L	0.06307385229540918
human	Granule	HK	Gene_body	LUC7L	0.21676646706586822
human	Granule	HK	Gene_body	MGRN1	0.025182481751824814
human	Granule	HK	Gene_body	ARL6IP1	0.1316793893129771
human	Granule	HK	Gene_body	USP31	0.15444646098003625
human	Granule	HK	Gene_body	ARHGAP17	0.18355899419729213
human	Granule	HK	Gene_body	XPO6	0.23651399491094144
human	Granule	HK	Gene_body	ATXN2L	0.2891472868217054
human	Granule	HK	Gene_body	LONP2	0.5479041916167666
human	Granule	HK	Gene_body	BRD7	0.12487135506003427
human	Granule	HK	Gene_body	CHD9	0.42909379968203504
human	Granule	HK	Gene_body	CHD9	0.37113010446343775
human	Granule	HK	Gene_body	CHD9	0.8160518444666
human	Granule	HK	Gene_body	FTO	0.2832335329341317
human	Granule	HK	Gene_body	FTO	0.6275449101796408
human	Granule	HK	Gene_body	FTO	0.17540687160940324
human	Granule	HK	Gene_body	FTO	0.991362763915547
human	Granule	HK	Gene_body	FTO	0.3253937007874016
human	Granule	HK	Gene_body	GLG1	0.13993808049535605
human	Granule	HK	Gene_body	GLG1	0.0754491017964072
human	Granule	HK	Gene_body	GLG1	0.16659142212189615
human	Granule	HK	Gene_body	GLG1	0.19361277445109784
human	Granule	HK	Gene_body	GLG1	0.0560878243512974
human	Granule	HK	Gene_body	GLG1	0.2057884231536926
human	Granule	HK	Gene_body	GLG1	0.37514231499051226
human	Granule	HK	Gene_body	MBTPS1	0.16067864271457086
human	Granule	HK	Gene_body	MBTPS1	0.18223552894211573
human	Granule	HK	Gene_body	MBTPS1	0.20519930675909878
human	Granule	HK	Gene_body	MBTPS1	0.08193548387096776
human	Granule	HK	Gene_body	TCF25	0.10837887067395263
human	Granule	HK	Gene_body	MAP2K4	0.4137870855148341
human	Granule	HK	Gene_body	MAP2K4	0.26553030303030306
human	Granule	HK	Gene_body	MPRIP	0.003992015968063872
human	Granule	HK	Gene_body	MPRIP	0.011377245508982036
human	Granule	HK	Gene_body	MPRIP	0.3686626746506987
human	Granule	HK	Gene_body	MPRIP	0.5732495511669659
human	Granule	HK	Gene_body	MPRIP	0.6085828343313375
human	Granule	HK	Gene_body	MPRIP	0.13834586466165416
human	Granule	HK	Gene_body	PIGS	0.08011152416356879
human	Granule	HK	Gene_body	PHF12	0.689620758483034
human	Granule	HK	Gene_body	MYO18A	0.14870259481037923
human	Granule	HK	Gene_body	MYO18A	0.5520569620253165
human	Granule	HK	Gene_body	MYO18A	0.1536926147704591
human	Granule	HK	Gene_body	MYO18A	0.27766990291262145
human	Granule	HK	Gene_body	ACACA	0.07085828343313375
human	Granule	HK	Gene_body	ACACA	0.07442748091603055
human	Granule	HK	Gene_body	ACACA	0.43960784313725504
human	Granule	HK	Gene_body	ACACA	0.07465069860279443
human	Granule	HK	Gene_body	SYNRG	0.24659863945578242
human	Granule	HK	Gene_body	NR1D1	0.6061452513966483
human	Granule	HK	Gene_body	NR1D1	0.8284965034965036
human	Granule	HK	Gene_body	CASC3	0.304191616766467
human	Granule	HK	Gene_body	DNAJC7	0.5380124223602484
human	Granule	HK	Gene_body	MAPT	0.1938388625592417
human	Granule	HK	Gene_body	KANSL1	0.20616570327552983
human	Granule	HK	Gene_body	CBX1	0.3876984126984127
human	Granule	HK	Gene_body	ZNF652	0.4227474150664697
human	Granule	HK	Gene_body	MTMR4	0.3159128978224454
human	Granule	HK	Gene_body	MTMR4	0.3375955524669911
human	Granule	HK	Gene_body	APPBP2	0.16966067864271456
human	Granule	HK	Gene_body	APPBP2	0.3305502846299809
human	Granule	HK	Gene_body	GGA3	0.16188679245283022
human	Granule	HK	Gene_body	GGA3	0.5060836501901141
human	Granule	HK	Gene_body	GGA3	0.10518962075848304
human	Granule	HK	Gene_body	GGA3	0.2636704119850187
human	Granule	HK	Gene_body	CYTH1	0.10349417637271215
human	Granule	HK	Gene_body	CYTH1	0.18314285714285716
human	Granule	HK	Gene_body	CYTH1	0.17667161961367012
human	Granule	HK	Gene_body	CYTH1	0.027701375245579564
human	Granule	HK	Gene_body	RAB12	0.07391304347826086
human	Granule	HK	Gene_body	RAB12	0.013346613545816732
human	Granule	HK	Gene_body	LDLRAD4	0.5175648702594808
human	Granule	HK	Gene_body	LDLRAD4	0.020958083832335325
human	Granule	HK	Gene_body	LDLRAD4	0.030059523809523807
human	Granule	HK	Gene_body	LDLRAD4	0.04910179640718563
human	Granule	HK	Gene_body	LDLRAD4	0.0037109375000000007
human	Granule	HK	Gene_body	LDLRAD4	0.01816367265469062
human	Granule	HK	Gene_body	LDLRAD4	0.008122743682310469
human	Granule	HK	Gene_body	LDLRAD4	0.3420318725099601
human	Granule	HK	Gene_body	LDLRAD4	0.06026119402985075
human	Granule	HK	Gene_body	LDLRAD4	0.04338498212157331
human	Granule	HK	Gene_body	LDLRAD4	0.0035856573705179283
human	Granule	HK	Gene_body	LDLRAD4	0.1836826347305389
human	Granule	HK	Gene_body	LDLRAD4	0.1402671755725191
human	Granule	HK	Gene_body	LDLRAD4	0.033268482490272366
human	Granule	HK	Gene_body	LDLRAD4	0.0011583011583011585
human	Granule	HK	Gene_body	LDLRAD4	0.028343313373253493
human	Granule	HK	Gene_body	LDLRAD4	0
human	Granule	HK	Gene_body	LDLRAD4	0.5610337972166999
human	Granule	HK	Gene_body	LDLRAD4	0.32974051896207585
human	Granule	HK	Gene_body	LDLRAD4	0.19579349904397708
human	Granule	HK	Gene_body	LDLRAD4	0.008982035928143714
human	Granule	HK	Gene_body	LDLRAD4	0.24510978043912174
human	Granule	HK	Gene_body	LDLRAD4	0.018363273453093812
human	Granule	HK	Gene_body	LDLRAD4	0.17325581395348844
human	Granule	HK	Gene_body	DTNA	0.3508982035928143
human	Granule	HK	Gene_body	DTNA	0.6950819672131145
human	Granule	HK	Gene_body	DTNA	0.3113095238095238
human	Granule	HK	Gene_body	DTNA	0.031736526946107776
human	Granule	HK	Gene_body	DTNA	0.02475049900199601
human	Granule	HK	Gene_body	DTNA	0.23185185185185184
human	Granule	HK	Gene_body	DTNA	0.41437125748502995
human	Granule	HK	Gene_body	DTNA	0.01838351822503962
human	Granule	HK	Gene_body	DTNA	0.09233716475095786
human	Granule	HK	Gene_body	DTNA	0.14302554027504907
human	Granule	HK	Gene_body	DTNA	0.39580838323353296
human	Granule	HK	Gene_body	DTNA	0.020729366602687142
human	Granule	HK	Gene_body	RPRD1A	0.03572854291417166
human	Granule	HK	Gene_body	RPRD1A	0.3110985277463193
human	Granule	HK	Gene_body	ATP5A1	0.17824074074074067
human	Granule	HK	Gene_body	DAZAP1	0
human	Granule	HK	Gene_body	AP3D1	0.3497005988023952
human	Granule	HK	Gene_body	AP3D1	0.24669312169312177
human	Granule	HK	Gene_body	TNPO2	0.06746506986027943
