Gene	1406_xk_granule	1417_pk_granule	1422_xk_basket	1433_pk_basket	1867_xk_astrocyte	1986_pk_astrocyte	1864_xk_oligo	1983_pk_oligo	1866_xk_opc	1984_pk_opc
MCOLN2	2	3	3	5	2	12	3	10	0	27
COL24A1	58	65	86	80	56	45	96	60	79	56
MIR548N	5	10	6	10	4	4	5	9	23	6
CCDC18-AS1	402	696	765	888	646	1828	565	1188	433	1119
DPYD	11	28	569	604	759	2147	9444	9202	98	1165
LINC01397	11	13	2	2	3	3	2	49	3	16
ATP1A1	1150	980	3153	1932	199	285	91	1271	299	554
CEPT1	1327	1763	1001	673	329	478	315	585	381	731
PDE4DIP	3380	3782	3379	2581	784	4045	712	2037	1110	1603
HYDIN2	1217	1791	833	764	472	2714	795	2115	942	1791
OTUD7B	1009	1294	622	649	362	1346	4110	2761	532	986
RNF115	1786	2379	1927	1538	593	1069	799	723	186	658
SRGAP2-AS1	404	1044	256	575	265	153	409	191	344	242
MUC1	0	3	0	1	1	64	1	7	0	1
PMF1-BGLAP	0	0	0	3	1	9	1	5	0	0
PMF1	0	0	0	0	0	0	0	0	0	0
NUP210L	424	630	308	280	174	588	792	431	46	132
UHMK1	410	519	593	426	213	499	109	266	248	469
ALDH9A1	393	380	387	203	206	668	84	224	448	240
PBX1	5815	7238	18303	10533	4079	14588	3283	6162	3945	7254
DNM3	30979	42875	14330	12219	1971	3084	22915	34672	9542	25887
SCYL3	401	523	472	482	257	604	224	571	129	291
TNN	7	5	4	7	1	1	5	1	9	58
SMG7	2083	2786	2110	2040	1569	2898	1350	1563	987	1390
SOAT1	173	187	437	248	305	213	349	182	87	308
ACBD6	3058	4782	3538	3026	898	1645	1405	1610	906	2312
RGSL1	9	9	56	53	12	7	9	6	25	4
RASAL2	2114	2160	6103	5049	2201	1955	929	1739	490	2348
BRINP2	44	32	359	248	212	469	212	1547	1142	2767
LINC01350	3	7	9	19	3	33	20	16	5	15
NEK7	335	741	466	390	1293	2701	1396	2274	1275	4272
ASPM	3	4	12	9	1	1	1	3	1	9
CR1	8	7	7	9	16	6	30	41	11	6
PPP1R12B	6146	6978	5085	3434	1406	6384	5929	9851	1549	2549
PIK3C2B	318	338	813	603	921	3319	1559	3310	624	826
RASSF5	289	356	1217	852	91	304	28	430	95	316
CDK18	31	40	16	44	42	333	2409	9136	94	272
FLVCR1	475	567	975	783	110	296	105	539	218	422
ESRRG	1048	288	37799	28011	10735	37147	1900	4254	2783	4055
KCNH1	17779	19279	248	253	502	810	3772	3219	363	803
LPGAT1	1917	2798	3385	3192	1155	1146	12860	7796	1781	2904
PROX1-AS1	913	1076	12	31	232	895	516	830	82	889
USH2A	98	90	712	633	249	540	64	69	51	73
SUSD4	1450	1335	3652	2494	124	50	67	1725	868	3650
WDR26	1109	1684	1573	1270	796	1261	310	1024	370	922
RAB3GAP2	2032	2298	1946	1506	984	1836	983	1483	720	1148
LYPLAL1-AS1	22	19	141	93	60	269	11	48	18	173
DISC1	0	0	0	0	0	0	0	0	0	0
TSNAX-DISC1	53	92	99	111	32	45	166	227	24	61
COG2	1489	1681	628	434	229	334	261	569	344	735
URB2	147	106	225	167	38	107	76	49	4	43
RGS7	32002	44579	28317	24394	3870	8514	431	5745	6119	12359
FMN2	5344	6573	6722	6354	6952	21376	344	2061	1953	4195
PLD5	15098	18098	411	679	1517	5329	4341	7632	2699	6581
SMYD3	20756	27358	11757	9884	5073	8285	3055	5227	4413	7516
KIF26B	8827	7353	4429	3122	1593	1778	426	5660	4670	13027
LOC100130417	0	3	3	5	1	0	3	0	0	0
CDK11A	116	131	87	101	113	419	192	417	280	98
TTLL10	11	44	5	85	10	17	16	48	11	22
VWA1	5	1	0	4	3	7	70	141	3	19
CFAP74	156	243	12	21	168	82	5	15	9	3
GNB1	1876	2138	2107	1755	1390	2646	1777	2784	1290	2416
SSU72	265	217	379	213	63	135	159	203	274	102
PUSL1	1	2	0	3	1	0	2	12	1	0
MMEL1	1	10	0	1	0	2	1	4	1	2
PLCH2	182	119	457	218	13	83	63	416	2	114
MORN1	2021	3201	494	398	1025	1370	146	203	393	335
TTC34	6	3	4	1	5	44	1	1	0	2
TP73	298	449	10	8	46	52	5	34	27	39
MEGF6	12	11	23	6	122	262	8	58	3	6
AJAP1	9	9	3602	2753	129	120	1146	1419	1445	1657
KCNAB2	444	325	790	451	69	151	8	126	35	321
NPHP4	386	334	1703	879	249	948	218	469	132	580
CHD5	614	803	1485	1327	109	79	10	90	6	5
NOL9	347	404	461	384	197	493	153	508	108	386
DNAJC11	392	390	778	558	242	724	238	499	554	231
SLC2A5	1	3	28	40	473	55	4	13	22	7
SPSB1	3	19	13	12	107	144	1534	1282	768	836
MIR34AHG	1	3	912	479	85	124	7	51	28	28
UBE4B	2899	3780	2967	2425	727	2520	2372	4417	1476	2279
PIK3CD	88	111	92	124	292	251	14	101	47	231
SLC25A33	4	18	218	152	383	1646	128	315	151	504
NMNAT1	90	74	226	186	63	169	79	263	161	212
KIF1B	12346	15014	8871	7283	2652	12742	7145	11897	2374	9619
MTOR	1556	1333	3267	2101	411	1309	851	1556	397	1817
CASZ1	3	7	26	6	253	861	18	21	4	6
TNFRSF1B	0	3	3	1	166	110	6	1	4	4
FBXO6	65	41	42	33	6	143	33	53	0	8
MTHFR	125	157	191	125	129	192	63	237	58	179
VPS13D	3142	3270	4422	3579	1519	3672	1773	3261	1370	2350
LRRC38	4	5	2055	1729	13	5	9	15	11	9
PRAMEF19	0	0	1	0	0	0	0	0	0	0
PRDM2	2283	2596	2644	2173	1052	1893	1958	3366	359	2107
CELA2A	81	48	33	19	30	50	63	6	27	12
TMEM51	1489	854	50	43	200	268	3	71	192	124
FHAD1	17	19	11	16	22	117	7	28	24	4
SZRD1	234	159	243	120	48	302	24	164	63	79
SPEN	1430	1617	1828	1567	884	3513	1266	3338	555	2040
MST1P2	2	6	16	1	8	14	3	17	0	25
FBXO42	1847	2101	2049	1490	562	1520	539	1220	1356	1734
RCC2	265	306	341	266	611	325	528	436	618	924
ARHGEF10L	3501	3211	7276	5166	644	1656	110	536	346	1137
SDHB	260	235	509	261	133	431	620	304	77	181
KLHDC7A	0	0	0	0	0	0	0	0	0	0
PAX7	4	7	5	6	10	3	2	3	8	1
IGSF21	10601	11665	2337	2907	1337	872	607	5180	3457	10879
CAPZB	1177	943	3240	1867	1049	1833	947	1757	658	1239
AKR7L	37	57	27	30	3	33	14	14	18	6
UBR4	2351	2039	4260	2887	1391	6315	855	3849	548	1946
TMCO4	5	5	9	9	139	184	6	50	29	94
KIF17	2	13	13	6	18	45	29	6	80	38
VWA5B1	0	5	7	6	7	33	0	15	1	4
UBXN10-AS1	1	0	14	23	16	86	1	2	0	1
HSPG2	6	6	16	10	17	112	46	189	212	16
RAP1GAP	860	643	2080	1363	27	31	291	686	313	1488
ECE1	9	5	1235	763	29	178	360	641	191	173
USP48	2466	3020	2661	2314	889	1807	2431	2646	1636	2128
EPHB2	60	41	2498	1333	126	57	1310	2439	82	232
ASAP3	4	7	235	57	95	557	119	334	227	501
HNRNPR	1225	1631	892	1006	521	945	509	1283	596	1203
FUCA1	68	43	78	72	14	34	299	37	24	16
RCAN3	614	885	8	13	31	32	54	281	46	9
STPG1	395	533	153	145	27	131	232	500	118	148
CLIC4	17	19	22	40	201	579	1734	1811	451	949
RUNX3	0	1	2	2	70	23	1	1	1	0
RHD	239	160	287	197	207	724	208	224	84	85
LOC646471	0	0	0	0	0	0	0	0	0	0
MTFR1L	78	90	100	86	11	45	137	67	1	62
LDLRAP1	2310	1970	47	72	101	143	755	1069	28	50
MAN1C1	4154	5176	2691	2654	580	1113	808	1110	450	1094
ARID1A	1805	1818	1806	1345	1173	3584	1811	3298	1368	2867
HMGN2	69	64	66	68	93	107	8	95	27	62
AIM1L	2	6	10	4	8	2	9	3	6	1
SLC9A1	329	179	598	316	35	72	49	164	41	68
TRNP1	56	45	116	72	23	9	2	34	4	89
GPR3	19	4	203	70	20	21	1	12	4	27
PTAFR	14	16	11	12	157	68	121	334	7	15
EYA3	1254	1836	2235	2654	467	1085	648	1061	419	1184
STX12	855	1064	905	775	330	532	312	717	362	779
EPB41	10135	13253	5801	4866	879	613	54	699	106	284
GMEB1	222	278	99	133	85	221	399	171	25	31
TRNAU1AP	251	230	240	214	83	253	162	380	66	76
PHACTR4	879	1140	1292	1172	545	1356	759	1737	552	1447
OPRD1	5	7	9	4	1	1	13	0	2	2
MECR	226	132	646	421	59	402	110	264	133	256
LOC101929406	0	0	1	0	0	0	1	0	1	0
ZCCHC17	1226	1709	1458	1308	259	463	629	798	358	700
PUM1	2260	2812	2447	1874	1137	1995	1140	1759	774	1923
NKAIN1	905	1057	18	26	24	38	282	672	10	16
KPNA6	959	907	1267	916	400	891	358	983	567	728
BSDC1	625	745	614	530	414	1028	913	969	362	672
ZBTB8OS	569	761	1177	896	274	1244	256	949	376	995
TRIM62	918	737	1105	761	321	1221	344	1813	599	1225
AK2	1017	758	1336	922	543	882	428	1155	423	673
KIAA1522	4	9	140	130	6	58	1	16	277	102
TMEM54	5	26	0	5	3	24	0	10	2	2
ZNF362	615	517	710	475	343	982	501	773	374	594
C1orf94	1	1	16	24	9	151	8	112	4	135
KIAA0319L	2021	2483	1768	1557	1507	3666	1628	2286	863	2245
ZMYM6	434	606	690	716	224	525	243	473	95	556
ZMYM4	3523	5074	3264	3340	1171	2211	1582	2851	2269	4192
AGO3	1799	2360	2205	1862	681	1792	675	1895	1476	2348
MAP7D1	238	146	476	296	110	264	969	699	47	210
SH3D21	102	67	404	278	37	45	7	23	1	25
AGO1	1368	1307	1593	1128	280	904	252	1146	136	1339
OSCP1	99	97	206	224	73	285	61	59	2	56
RSPO1	0	0	1013	521	5	2	4	29	0	0
GRIK3	7	7	20676	16997	1404	6096	141	2173	2214	4400
INPP5B	1494	1530	1240	1073	582	1003	1370	905	243	447
MACF1	9807	12502	13698	13063	11904	33002	12978	25832	8499	17598
RHBDL2	377	551	1213	1084	215	963	614	949	156	483
NFYC	734	720	1061	777	599	988	304	612	304	355
RLF	1464	1838	1613	1338	502	1048	510	1194	961	1164
RIMS3	604	399	44	23	53	100	37	115	44	136
SCMH1	4493	6298	5572	5671	2251	5708	1357	3088	2397	4457
SLFNL1-AS1	39	25	102	40	29	80	1	18	1	14
FOXJ3	2634	4220	2765	2385	1478	2059	1766	2377	2237	2634
LOC339539	31	38	18	49	33	89	2	38	1	51
PPCS	182	160	233	251	83	166	144	218	24	70
CCDC30	623	849	1557	1310	258	875	430	551	590	337
ST3GAL3	3112	4617	3970	4219	962	2609	2252	2456	2225	3035
MED8	134	105	175	142	29	63	87	153	4	22
CFAP57	11	10	17	21	11	7	5	11	530	3
EIF2B3	1167	1451	1844	1576	343	926	374	883	330	772
PTCH2	200	136	806	441	176	1503	1	160	38	133
ERI3	1207	1072	1240	970	788	1727	1271	1504	2853	1461
C1orf228	151	176	315	286	469	3632	29	117	174	309
RNF220	176	139	367	599	603	7218	40646	52348	404	3350
NASP	702	896	1132	1057	1520	2696	4341	4432	1090	1966
MAST2	1995	2102	2456	1844	640	1246	1153	1630	1210	1375
IPP	141	195	208	174	79	215	109	162	14	253
TESK2	626	787	87	149	283	1722	2371	1447	421	227
ATPAF1	810	1013	1038	902	116	533	267	517	456	947
RAD54L	234	290	110	153	43	137	129	206	9	112
FAAH	106	78	82	50	6	47	177	214	2	61
SKINT1L	14	22	298	212	66	111	45	111	72	313
TRABD2B	5	5	62	26	25	86	13	138	27	39
BEND5	0	0	0	0	0	0	0	0	0	0
SPATA6	31	34	2610	1464	6277	6990	9564	8681	14062	17111
AGBL4-IT1	0	0	0	0	0	0	0	0	0	0
ELAVL4	388	606	5827	4372	183	13	19	1003	461	2189
FAF1	8473	11854	8593	7791	2532	5081	6199	9246	5070	7745
RNF11	912	1130	1825	1183	190	541	233	687	929	1012
C1orf185	1	7	76	82	99	97	3	88	47	178
OSBPL9	3199	4352	3706	3179	1935	6441	3472	3901	274	2242
ZFYVE9	3110	3901	3857	3198	718	1874	432	1348	1589	1475
TXNDC12	278	334	295	253	74	202	154	245	22	168
SCP2	897	1142	1777	1517	341	1054	240	938	644	1588
PODN	0	1	27	29	0	1	0	96	74	176
ZYG11B	1428	1795	2151	1716	345	1000	860	760	643	1003
C1orf123	120	123	219	145	61	277	175	332	72	194
COA7	12	11	28	32	18	639	5	6	0	2
GLIS1	1163	1788	46	96	45	114	8	55	14	48
SSBP3	2025	1752	1231	1055	470	2264	696	1468	983	626
YIPF1	195	180	327	177	139	317	155	308	21	305
MROH7	0	0	0	0	0	0	0	0	0	0
MROH7-TTC4	30	61	33	41	457	881	3	56	336	49
PCSK9	265	117	18	1	16	10	16	4	11	0
TTC22	0	1	1	0	1	19	0	0	0	1
USP24	6161	8684	7030	4488	3140	7481	2204	8697	5383	19273
C8A	0	1	1	0	0	1	2	0	1	3
C1orf168	37	116	15	21	24	41	40	15	31	7
FGGY	4812	8497	1363	1278	806	2839	782	1516	1700	1679
LINC01135	1933	2829	448	495	329	2011	1562	3378	1170	2953
C1orf87	3	4	9	4	7	5	3	2	4	5
CYP2J2	2	8	13	23	401	4216	1432	2261	253	1512
NFIA	18966	32080	13213	15082	6651	27834	4362	12753	7515	15518
NFIA-AS2	90	322	1672	1885	88	355	0	82	32	109
DOCK7	2180	3247	5397	4364	1520	2386	736	600	299	1067
KANK4	8	6	13	21	3	5	1133	662	5	15
EFCAB7	438	631	820	636	206	254	467	259	201	313
LINC00466	7	12	28	13	12	15	24	5	17	11
RAVER2	1617	2022	2775	2174	661	1628	63	618	834	2216
UBE2U	5	9	3	9	27	9	44	4	22	6
CACHD1	13	11	29	74	3433	14562	60	867	2950	1902
JAK1	2086	2510	3277	2577	1162	4536	588	1506	883	2364
LEPR	893	1740	570	460	834	1308	729	633	830	801
DNAJC6	6927	8624	6937	5633	297	475	12884	17575	1518	6151
MIER1	950	1386	1313	1025	388	926	584	949	359	797
WDR78	193	264	762	776	154	374	113	219	353	391
SGIP1	6869	8784	11536	10756	4493	19070	5341	11690	4825	14865
IL12RB2	27	54	65	67	13	175	29	72	4	66
IL23R	8	20	17	12	13	11	29	7	14	7
GNG12	4	1	17	31	852	3765	135	1231	3396	3488
LRRC7	37	45	66	195	6970	17557	521	4329	3151	6197
PTGER3	5	6	10	5	3	4	3	6	5	121
LOC101927244	1	7	2	6	2	10	10	2	3	2
ZRANB2-AS2	155	294	482	486	282	869	385	505	42	331
NEGR1-IT1	0	0	0	0	0	0	0	0	0	0
NEGR1	33660	54603	18132	17596	3071	8811	3966	6725	4261	9736
LRRIQ3	14	34	81	59	39	19	90	40	41	20
CRYZ	47	65	33	47	108	217	79	168	19	240
ERICH3	536	552	7	5	33	63	100	144	168	152
ERICH3-AS1	0	0	0	0	0	0	0	0	0	0
ACADM	723	1049	1049	751	171	449	350	430	165	339
MSH4	720	724	901	589	162	477	288	294	129	144
AK5	36	65	2608	2591	107	161	6135	12218	497	2585
PIGK	913	1172	769	887	360	517	932	850	1073	595
ST6GALNAC5	756	62	164	107	53	33	24	24	15	17
PTGFR	0	0	0	2	6	0	0	1	0	1
USP33	1638	2186	2095	1638	736	969	645	1067	338	1062
FAM73A	1577	2173	1870	1850	938	1204	1977	2179	1930	1625
DNAJB4	435	646	1400	1068	318	686	366	693	122	464
GIPC2	26	41	1280	1085	21	14	9	35	10	17
MGC27382	10	23	47	41	19	7	27	12	24	10
ADGRL4	3	4	5	6	2	1	11	3	2	2
LOC101927412	4	7	4	7	11	5	8	2	11	4
LOC101927434	2	0	3	7	6	17	6	1	11	3
LOC101927587	29	68	845	926	14	67	42	151	19	11
PRKACB	6579	9702	11467	9351	975	1942	3211	6208	3441	5284
SSX2IP	1790	1978	1396	914	83	138	503	288	182	472
DNASE2B	0	6	9	5	1	13	3	37	3	0
SPATA1	507	1049	426	401	64	142	72	178	5	148
SYDE2	4	6	5	0	4	45	81	26	5	22
WDR63	4	5	6	1	7	25	2	9	5	3
DDAH1	2553	2314	1623	1398	1181	6808	72	1795	832	2873
CLCA3P	13	30	19	46	0	9	8	23	1	0
ODF2L	1154	1540	2201	1732	504	765	567	435	155	456
SEP15	845	1362	711	561	232	323	271	379	316	264
LINC01140	23	30	13	7	2	3	4	10	1	10
PKN2	2787	4716	2895	2546	1805	2200	1924	2227	2083	2058
GTF2B	262	264	293	222	62	167	77	271	37	256
PKN2-AS1	32	99	54	52	40	281	160	95	34	95
LRRC8C	36	13	243	100	451	505	320	789	8	339
GBP5	0	1	0	0	1	7	2	1	1	0
LRRC8D	1990	2405	2586	2258	862	1685	4583	8605	3425	7044
LOC105378853	1932	2287	318	446	126	566	40	559	116	440
ZNF644	3072	4328	2910	2167	2159	3247	3721	2563	1348	2325
TGFBR3	22	16	224	101	286	1053	19	144	48	73
HFM1	1719	3152	2449	2353	999	2336	742	2504	1250	2806
BRDT	3	8	55	86	3	3	11	5	8	8
BTBD8	281	499	781	652	364	964	1126	827	486	1145
FAM69A	2717	4452	1619	1544	680	1705	2628	2801	562	2578
EVI5	3607	4347	3978	3108	2568	2156	2491	3222	2442	3182
CCDC18	360	565	514	448	852	1430	981	564	198	538
BCAR3	686	1111	635	787	1957	5606	98	352	74	434
FNBP1L	607	1327	553	402	1770	4919	43	418	405	855
ABCA4	19	13	7	11	1	3	5	0	6	4
ABCD3	1512	2066	1627	1232	512	1449	826	1197	513	1180
TMEM56	2	5	4	6	3	19	4	17	2	17
ALG14	633	856	532	641	197	1047	288	1104	113	678
TMEM56-RWDD3	0	4	1	2	0	7	5	1	1	0
LINC01057	1135	840	24	33	369	1703	37	344	459	569
LOC101928241	6	6	8	8	5	3	9	2	6	3
PTBP2	3069	4682	2140	2168	1351	2745	4172	4196	1954	2745
DPYD-AS1	0	0	0	0	0	0	0	0	0	0
MIR137HG	1	2	3	0	2	1	3	37	1	1
SNX7	1	2	292	227	266	725	32	382	255	639
LOC100129620	10	9	936	1175	49	39	31	342	276	790
PLPPR5	8	14	1055	1186	19	15	32	1123	589	2155
LOC101928270	0	0	0	0	0	0	0	0	0	0
SLC35A3	469	722	480	390	407	220	699	271	64	281
CDC14A	5	8	9	19	568	1197	148	741	1187	1649
AGL	1028	1377	2214	1278	406	962	260	508	127	424
TRMT13	441	567	574	525	202	301	540	603	133	650
RTCA	392	364	551	298	169	364	170	415	250	172
FRRS1	13	5	20	15	19	3	1	0	0	19
SLC30A7	1268	2096	1214	1210	424	850	942	939	343	1045
LOC102606465	668	718	770	382	624	2049	185	586	652	903
OLFM3	10069	13686	10189	13213	369	163	65	266	23	13
COL11A1	14	20	38	38	150	250	397	4400	6732	10454
RNPC3	964	1041	1420	1468	641	1909	690	1420	1214	1209
NTNG1	727	2717	9060	4461	2382	11335	134	3813	1695	9325
VAV3	353	123	21473	15981	1497	5308	55	608	461	722
GPSM2	991	1637	725	754	490	1550	964	2102	1959	3075
HENMT1	33	41	58	47	34	4	201	37	9	6
STXBP3	1020	1731	2179	1524	857	1744	1935	1906	358	1194
SORT1	302	321	2262	2139	1653	3179	9403	9132	628	2764
KIAA1324	41	72	751	670	16	62	157	300	12	92
GNAI3	684	682	735	463	579	272	352	243	374	335
CD53	17	39	49	37	292	47	5	22	1	0
KCNC4	123	74	428	369	29	214	9	58	42	258
KCNA2	2070	1624	6648	4811	353	2126	85	1315	1411	1691
TMIGD3	5	6	14	26	101	49	1	61	8	10
KCND3	22089	21301	8114	6251	750	2934	356	2650	2301	4070
RAP1A	2103	3203	2076	1741	1100	1182	1736	2877	395	1642
FAM19A3	11	19	0	0	3	7	8	0	1	1
ST7L	1163	1572	1579	1447	458	1278	550	1098	918	1308
CTTNBP2NL	628	799	966	795	943	641	918	905	370	1188
LRIG2	646	876	963	660	184	681	621	1124	166	986
RSBN1	1036	1465	782	615	484	631	302	547	212	425
AP4B1	197	175	166	92	52	68	9	308	106	134
MAGI3	2560	4445	1415	1483	1053	2176	338	1166	631	2077
AMPD1	0	0	5	0	2	2	1	0	0	0
TRIM33	3491	4741	3815	3312	1085	2076	2172	2210	1886	2927
TSPAN2	2	7	0	5	2	0	7	53	1	10
SYCP1	12	10	17	18	14	11	21	4	26	10
MAB21L3	33	22	98	92	16	1	16	34	3	0
CASQ2	12	19	48	36	1	1	7	27	8	2
SLC22A15	1853	1862	3260	2762	182	483	3666	5547	1063	1505
CD58	1	4	22	41	128	206	40	50	5	66
VTCN1	1	0	0	1	2	2	4	3	0	1
LOC101929099	2	2	14	31	8	25	3	18	4	2
IGSF3	1	6	1079	941	84	22	0	24	9	2
PTGFRN	27	21	594	424	242	1055	30	579	770	1283
LINC01525	2	2	2	1	2	6	8	0	4	1
SPAG17	50	91	187	207	17	96	11	59	24	115
LOC101929147	987	1399	1399	1225	749	2579	557	1327	287	1405
REG4	0	1	0	2	2	0	1	0	0	1
NBPF8	242	233	82	92	179	519	32	129	126	143
NOTCH2	30	27	122	170	1039	5074	95	1141	823	2151
SRGAP2C	3454	4381	766	908	1105	467	259	709	250	526
HIST2H2BA	189	171	166	96	67	42	29	50	3	123
NBPF15	1498	1830	241	224	150	327	43	220	170	517
SRGAP2D	1651	1978	287	330	199	120	40	117	44	115
GPR89A	897	1236	721	488	222	300	175	286	49	232
NBPF20	222	287	31	36	33	69	14	51	14	23
FAM72D	7	6	2	3	0	1	2	12	1	2
SRGAP2B	4406	4596	1289	1098	1667	477	179	328	175	337
ANKRD35	53	53	1	4	2	19	20	7	5	103
FMO5	943	1432	695	694	352	596	392	582	788	890
BCL9	1420	1779	687	667	584	2607	737	1302	1221	1314
LINC00624	27	31	23	31	29	68	88	13	171	15
NBPF11	351	646	94	72	253	760	210	558	120	927
GPR89B	833	1144	780	513	181	260	404	438	172	256
LOC101927468	33	435	34	223	22	302	30	335	37	302
VPS45	2343	3308	3329	2383	808	1591	269	1046	566	1147
CTSS	72	121	204	147	131	24	1	11	5	15
PRPF3	596	871	798	703	295	698	771	648	724	698
ARNT	1391	1930	1133	1001	706	836	946	1026	667	698
RPRD2	3596	6081	3802	3515	1110	2957	1473	3101	1928	3167
TDRKH	590	552	204	201	156	189	30	320	142	298
PSMD4	76	94	105	114	104	133	129	139	53	363
CGN	194	202	256	168	30	59	668	175	7	36
SNX27	2212	3119	3163	2612	1408	2283	1634	1659	1080	2078
FLG	11	7	66	20	25	107	1	26	6	1
LCE2A	0	0	0	0	0	0	0	0	0	0
GATAD2B	3621	4576	3269	2717	1212	3342	2608	3944	1333	3537
INTS3	655	613	1222	771	633	2788	421	1351	184	705
KCNN3	11	21	44	45	825	5361	106	698	255	654
ADAM15	0	0	0	0	0	0	0	0	0	0
TDRD10	3	3	3	9	23	76	3	4	3	3
PMVK	49	39	61	42	22	40	38	45	51	39
LOC100505666	0	0	0	0	0	0	1	2	0	0
GON4L	653	626	885	689	588	1678	479	1021	626	936
FDPS	99	87	138	86	60	591	152	287	185	283
ASH1L	4621	5863	4581	4037	1887	4404	2841	4813	2039	3756
DAP3	299	270	677	462	227	383	194	337	110	326
LMNA	740	582	1074	952	187	1125	133	623	164	980
ARHGEF2	576	524	61	98	324	723	975	1654	228	376
MEF2D	976	716	671	581	255	1399	143	894	232	882
ARHGEF11	3528	3214	4110	3116	821	2473	1215	1820	1574	2037
FCRL1	0	0	0	0	2	0	3	0	0	0
KIRREL	2	1	1169	1620	161	103	11	221	170	574
FCRL3	1	2	0	3	2	0	2	2	2	1
FCRL5	1	4	4	1	4	2	3	1	4	3
OR10K1	0	0	0	0	0	0	0	0	0	0
COPA	1422	1751	1771	1324	696	942	2684	1903	678	640
KCNJ10	34	26	21	112	1616	7828	4645	5313	1829	3300
ATP1A4	6	17	11	21	53	806	0	25	3	9
NECTIN4	1	3	4	1	0	1	0	0	1	0
CD84	0	5	0	3	234	64	3	1	0	0
SDHC	328	359	643	514	102	257	275	211	75	162
CD48	6	6	78	34	4	7	3	2	6	2
LY9	0	0	199	190	2	1	2	0	1	0
FCER1G	0	8	0	14	17	15	3	0	1	0
NOS1AP	3103	3044	29509	26212	7793	20335	1508	3313	655	3982
